ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
167,0.017467576619584,,CloneOperation,3,4.32,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,84995.0,
169,0.42447019869691877,,FillPadDeviceOperation,3,4.618,100.36,90,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,86019.0,
171,0.16825481441993737,,CloneOperation,3,0.878,40.734,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,87043.0,
173,0.10877205524153453,,FillPadDeviceOperation,3,3.931,22.97,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,88067.0,
176,0.07037169062204628,,CloneOperation,2,0.942,16.462,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,89090.0,
178,0.06377282834353677,,FillPadDeviceOperation,2,3.921,11.851,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,90114.0,
179,0.7625325010140899,,LayerNormDeviceOperation,3,41.47,147.116,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,91139.0,
182,0.5352841812979187,SLOW,MatmulDeviceOperation 128 x 2880 x 2560,2,72.167,60.217,80.0,121.46050133717627,23.72275416741724,26.15373785802375,11.824425753229777,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,2,4,1,92162.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
183,0.1390411012077859,,NlpCreateHeadsDeviceOperation,3,33.675,0.712,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,93187.0,
186,0.1506659351849396,,RotaryEmbeddingLlamaDeviceOperation,2,35.051,2.211,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,94210.0,
188,0.04112158662527066,,RotaryEmbeddingLlamaDeviceOperation,2,9.641,0.529,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,95234.0,
190,0.052588727202386464,,TypecastDeviceOperation,2,1.147,11.859,32,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,96258.0,
192,0.06558428073371585,,TypecastDeviceOperation,2,1.156,15.064,32,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,97282.0,
193,0.12845542630267687,,PagedFillCacheDeviceOperation,3,3.141,28.628,16,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,98307.0,
196,0.05618332803914807,,PagedFillCacheDeviceOperation,2,3.17,10.725,16,,,,,"BFP8, BFP8 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,99330.0,
198,0.31334487271635697,,SDPAOperation,2,15.57,61.925,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,,,,100354.0,
200,0.16172064686964854,,NLPConcatHeadsDeviceOperation,2,27.571,12.425,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,101378.0,
201,0.24053095610397998,,TypecastDeviceOperation,3,3.095,56.392,110,,,,,BF16 => BFP8,BFLOAT8_B,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,102403.0,
204,0.367344753678057,SLOW,MatmulDeviceOperation 128 x 2048 x 2880,2,51.36,39.49,90.0,134.30031152647973,26.23052959501557,29.39932710280374,5.9074650974962495,LoFi BFP8 x BFP8 => BF16,BFLOAT16,BFLOAT8_B,BFLOAT8_B,False,DEV_1_DRAM_INTERLEAVED,2,4,1,103426.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 4x1 look good 🤷 • HiFi2 is recommended for accuracy; LoFi discards the lowest 2 bits of the weights
205,0.12338093355786717,,BinaryNgDeviceOperation,3,6.826,23.688,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,104451.0,
207,0.37426708959766997,,ReduceScatterMinimalAsyncDeviceOperation,2,27.173,65.389,5,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,105474.0,
209,0.22746464271365918,,AllGatherAsyncDeviceOperation,2,28.2425,28.013,9,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,106498.0,
212,0.16499581748582057,,BinaryNgDeviceOperation,2,7.383,33.423,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,107522.0,
214,0.26306089520683223,,LayerNormDeviceOperation,2,41.261,23.798,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,108546.0,
216,0.34392930548268413,SLOW,MatmulDeviceOperation 128 x 2880 x 128,2,67.382,17.677,16.0,10.941794544537117,2.1370692469799057,1.4005497017007509,3.1660285140443047,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,109570.0,"If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • No program_config specified, try using one to override in0_block_w and out_subblock_h/w"
217,0.0078604094788128,,BinaryNgDeviceOperation,3,1.453,0.491,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_INTERLEAVED,,,,110595.0,
219,0.23645923164659083,,TopKDeviceOperation,3,22.533,35.947,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,111619.0,
222,0.030810864315099554,,SliceDeviceOperation,2,0.819,6.801,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,112642.0,
223,0.14180680083922,,SliceDeviceOperation,3,0.821,34.25,4,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_1_L1_INTERLEAVED,,,,113667.0,
226,0.18987094048667258,,SoftmaxDeviceOperation,2,6.804,40.154,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,114690.0,
228,0.1917551744460999,,UnaryDeviceOperation,2,1.053,46.371,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,115714.0,
230,0.14134585090064766,,UntilizeCodegenDeviceOperation,2,2.357,32.6,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,116738.0,
232,0.150326287861781,,UntilizeWithUnpaddingDeviceOperation,2,9.011,28.167,4,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_1_L1_INTERLEAVED,,,,117762.0,
233,0.10064882342932521,,UntilizeWithUnpaddingDeviceOperation,3,9.002,15.89,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,118787.0,
235,0.09955305647008743,,ScatterDeviceOperation,3,5.053,19.568,110,,,,,"BF16, UINT16 => BF16",BFLOAT16,BFLOAT16,UINT16,False,DEV_1_L1_INTERLEAVED,,,,119811.0,
237,0.0896871104164335,,TilizeDeviceOperation,3,2.09,20.091,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,120835.0,
239,0.3508880321869212,,RepeatCodegenDeviceOperation,3,0.781,85.999,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,121859.0,
242,2.3009529209993267,,UnaryDeviceOperation,2,492.141,76.92,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,122882.0,
243,37.79816587210758,SLOW,SparseMatmulDeviceOperation active=512/512 x 32 x 2880 x 2880,3,9347.42,0.647,45.0,247.3527540219654,48.31108476991512,29.076568636051444,11.685220806026333,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_1_DRAM_INTERLEAVED,30,1,2,123907.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=30 and output subblock 1x2 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
246,2.213748470778362,,PermuteDeviceOperation,2,546.99,0.504,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,124930.0,
248,0.3980990101059635,,TransposeDeviceOperation,2,97.873,0.583,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,125954.0,
249,2.517146529030789,,BinaryNgDeviceOperation,3,621.954,0.575,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,126979.0,
252,1.039264200978055,,SliceDeviceOperation,2,256.467,0.559,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,128002.0,
253,1.035887944849038,,SliceDeviceOperation,3,255.6,0.591,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,129027.0,
255,0.9986925195426601,,UnaryDeviceOperation,3,246.406,0.586,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,130051.0,
258,1.00083553241497,,UnaryDeviceOperation,2,246.944,0.578,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,131074.0,
260,1.0548071094330738,,BinaryNgDeviceOperation,2,260.286,0.584,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,132098.0,
262,1.3613954264708832,,UnaryDeviceOperation,2,336.113,0.581,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,133122.0,
264,1.278699390122797,,BinaryNgDeviceOperation,2,315.656,0.586,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,134146.0,
266,0.9700651023050085,,BinaryNgDeviceOperation,2,239.43,0.482,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,135170.0,
267,1.2597195742310547,,BinaryNgDeviceOperation,3,310.961,0.587,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,136195.0,
270,0.025408854508672654,,TilizeWithValPaddingDeviceOperation,2,5.602,0.682,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,137218.0,
271,0.014188362582898207,,BinaryNgDeviceOperation,3,2.976,0.533,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_L1_INTERLEAVED,,,,138243.0,
274,0.0090613053714092,,TransposeDeviceOperation,2,1.624,0.617,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,139266.0,
276,0.06907375263711887,,ReshapeViewDeviceOperation,2,16.55,0.533,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_L1_INTERLEAVED,,,,140290.0,
277,2.0457241313277104,,UnaryDeviceOperation,3,505.417,0.522,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,141315.0,
279,28.972773870575608,SLOW,SparseMatmulDeviceOperation active=128/128 x 128 x 1440 x 2880,3,7164.772,0.64,15.0,56.802723101307336,11.09428185572409,18.96717014861045,22.867440862039988,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_1_DRAM_INTERLEAVED,9,1,6,142339.0,If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=9 and output subblock 1x6 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
282,0.4020777358915354,,TransposeDeviceOperation,2,98.97,0.47,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,143362.0,
283,2.5205632193649437,,BinaryNgDeviceOperation,3,622.793,0.581,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,144387.0,
285,2.137906032201154,,BinaryNgDeviceOperation,3,528.182,0.555,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,145411.0,
287,1.1472720497424826,,FastReduceNCDeviceOperation,3,283.139,0.599,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,146435.0,
289,0.17712405731694142,,ReduceScatterDeviceOperation,2,43.2355,0.57,5,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,147458.0,
291,0.10315170072736284,,AllGatherDeviceOperation,2,24.845,0.666,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,148482.0,
293,0.031243510310075363,,BinaryNgDeviceOperation,3,7.16,0.567,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,149507.0,
296,0.02133308663076972,,SliceDeviceOperation,2,4.789,0.487,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,150530.0,
