ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1672,0.0021315703885643063,,BinaryNgDeviceOperation,3,2.256,,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,230403.0,
1674,0.0031879071325425397,,RotaryEmbeddingLlamaDeviceOperation,3,1.89,1.484,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,232451.0,
1676,0.004887683342217711,,PagedUpdateCacheDeviceOperation,3,3.687,1.486,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,234499.0,
1679,0.0018972488210270955,,InterleavedToShardedDeviceOperation,3,0.493,1.515,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,237571.0,
1681,0.014131102274542449,SLOW,MatmulDeviceOperation 32 x 1024 x 2944,3,14.328,0.628,16.0,210.40312674483528,41.09436069235064,13.465800111669457,15.220133589759497,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_WIDTH_SHARDED,2,1,6,239619.0,in0_block_w=2 and output subblock 1x6 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1686,0.0018934694409055274,,SliceDeviceOperation,3,1.439,0.565,90,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,244739.0,
1691,0.002564309412483833,,BinaryNgDeviceOperation,3,2.173,0.541,110,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,249859.0,
1692,0.0016071813966967575,,TypecastDeviceOperation,3,1.061,0.64,4,,,,,BFP8 => BF16,BFLOAT16,BFLOAT8_B,nan,False,DEV_0_L1_INTERLEAVED,,,,250883.0,
1697,0.007654189591205427,,SoftmaxDeviceOperation,3,6.633,1.468,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,256003.0,
1700,0.0024981702603563945,,UnaryDeviceOperation,3,2.112,0.532,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,259075.0,
1711,0.0022988079589436865,,UnaryDeviceOperation,3,1.88,0.553,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,270339.0,
1714,0.0031321612757494125,,BinaryNgDeviceOperation,3,2.784,0.531,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,273411.0,
1717,0.0026767459711004786,,ReshapeViewDeviceOperation,3,2.26,0.573,92,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,276483.0,
1723,0.002513287780842666,,BinaryNgDeviceOperation,3,2.194,0.466,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,282627.0,
1730,0.03444810496306119,,AllBroadcastDeviceOperation,3,35.605,0.854,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,289795.0,
1731,0.003944728001886515,,ConcatDeviceOperation,3,3.632,0.543,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,290819.0,
1743,0.011877646877057578,,SdpaDecodeDeviceOperation,2,9.812,2.759,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_HEIGHT_SHARDED,,,,236546.0,
1752,0.002479273359748555,,BinaryNgDeviceOperation,2,2.088,0.536,110,,,,,"BF16, BFP8 => BFP8",BFLOAT8_B,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,,,,245762.0,
