phase,target,layer_kind,prefill_ms,decode_ms,prefill_pcc,decode_pcc,trace_repeats,trace_samples,artifact
before,P150,sliding_attention,36.594683,0.530660340,1.0,1.0,100,5,artifacts/20260829_baseline
before,P150,full_attention,31.935862,0.528483690,1.0,1.0,100,5,artifacts/20260829_baseline
before,P150x2,sliding_attention,47.748477,0.752601540,0.9919844456,0.9835233161,100,5,artifacts/20260829_baseline
before,P150x2,full_attention,47.438676,0.752338440,0.9910519139,0.9603869403,100,5,artifacts/20260829_baseline
before,P150x4,sliding_attention,25.895578,0.652817770,0.9918193321,0.9843128812,100,5,artifacts/20260829_baseline
before,P150x4,full_attention,25.544376,0.653009110,0.9915781934,0.9625745230,100,5,artifacts/20260829_baseline
final,P150,sliding_attention,36.594683,0.530660340,1.0,1.0,100,5,artifacts/20260829_baseline
final,P150,full_attention,31.935862,0.528483690,1.0,1.0,100,5,artifacts/20260829_baseline
final,P150x2,sliding_attention,21.988971,0.428405910,0.9931029157,0.9991766884,100,5,artifacts/20260829_final/default_release_after_review_all.log.gz
final,P150x2,full_attention,21.679801,0.425538640,0.9920713329,0.9975173691,100,5,artifacts/20260829_final/default_release_after_review_all.log.gz
final,P150x4,sliding_attention,14.374113,0.396413630,0.9926647803,0.9986537098,100,5,artifacts/20260829_final/default_release_after_review_all.log.gz
final,P150x4,full_attention,14.041818,0.396353620,0.9924199023,0.9977844013,100,5,artifacts/20260829_final/default_release_after_review_all.log.gz
