ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
771,0.025701329656695415,,LayerNormDeviceOperation,3,20.15,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,239619.0
772,0.0033252291024816354,,EmbeddingsDeviceOperation,3,1.108,1.499,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,240643.0
773,0.00599102458548379,,TilizeWithValPaddingDeviceOperation,3,3.233,1.464,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,241667.0
774,0.003255076589771052,,EmbeddingsDeviceOperation,3,1.081,1.471,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,242691.0
775,0.005832862556827203,,TilizeWithValPaddingDeviceOperation,3,3.156,1.417,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,243715.0
776,0.10981674339714666,DRAM,MatmulDeviceOperation 32 x 2048 x 8192,3,85.564,0.533,86.0,399.8152494039549,78.08891589920994,12.548990510027581,10.555446636476148,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,244739.0
777,0.00444511830538876,,UntilizeWithUnpaddingDeviceOperation,3,2.932,0.553,86,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,245763.0
778,0.008502484540522662,,ReshapeViewDeviceOperation,3,6.195,0.471,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,246787.0
779,0.01768608620445353,,TilizeWithValPaddingDeviceOperation,3,12.411,1.455,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,247811.0
780,0.0029782930396220243,,SliceDeviceOperation,3,1.691,0.644,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,248835.0
781,0.003030588549097187,,SliceDeviceOperation,3,1.719,0.657,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,249859.0
782,0.012340464735907103,,UntilizeWithUnpaddingDeviceOperation,3,8.219,1.456,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,250883.0
783,0.010927210479846631,,ReshapeViewDeviceOperation,3,8.026,0.541,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,251907.0
784,0.006994843267360677,,TilizeWithValPaddingDeviceOperation,3,4.934,0.55,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,252931.0
785,0.00857518805369545,,LayerNormDeviceOperation,3,5.267,1.456,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,253955.0
786,0.0047831258666306605,,TransposeDeviceOperation,3,3.223,0.527,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,254979.0
787,0.03811832440646861,SLOW,MatmulDeviceOperation 32 x 2048 x 512,3,29.344,0.541,16.0,77.05125408942203,15.04907306434024,2.2869705561613953,10.339674461811866,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,1,256003.0
788,0.011432308571362827,,UntilizeWithUnpaddingDeviceOperation,3,7.653,1.31,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,257027.0
789,0.0033941061149611157,,ReshapeViewDeviceOperation,3,2.139,0.522,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,258051.0
790,0.01501646422075807,,TilizeWithValPaddingDeviceOperation,3,10.317,1.456,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,259075.0
791,0.008526719044913589,,LayerNormDeviceOperation,3,5.27,1.415,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,260099.0
792,0.0035229316383023693,,TransposeDeviceOperation,3,2.152,0.61,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,261123.0
793,0.03794868287573211,SLOW,MatmulDeviceOperation 32 x 2048 x 512,3,29.217,0.535,16.0,77.38617927918676,15.114488140466165,2.296911524112674,10.384618797529088,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,1,262147.0
794,0.011521593587539933,,UntilizeWithUnpaddingDeviceOperation,3,7.781,1.252,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,263171.0
795,0.0033252291024816354,,ReshapeViewDeviceOperation,3,2.081,0.526,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,264195.0
