Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
37.80,SparseMatmulDeviceOperation (in0:dram_interleaved),28301.18,96,Compute,,,,,
14.03,MatmulDeviceOperation (in0:dram_interleaved),10506.05,288,Compute,6.61,19.76,10.94,3.31,10.38
13.72,UnaryDeviceOperation (in0:dram_interleaved),10275.56,384,Compute,,,,,
11.79,BinaryNgDeviceOperation (in0:dram_interleaved),8825.87,448,Compute,,,,,
4.72,PermuteDeviceOperation (in0:dram_interleaved),3532.36,96,TM,,,,,
3.89,FastReduceNCDeviceOperation (in0:dram_interleaved),2909.64,32,Compute,,,,,
2.31,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),1733.07,256,TM,,,,,
2.18,LayerNormDeviceOperation (in0:dram_interleaved),1633.22,128,Compute,,,,,
2.07,TopKDeviceOperation (in0:dram_interleaved),1547.00,32,Other,,,,,
1.89,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),1418.09,192,TM,,,,,
0.94,ReshapeViewDeviceOperation (in0:dram_interleaved),703.92,160,TM,,,,,
0.76,SdpaDecodeDeviceOperation (in0:dram_interleaved),572.09,32,Compute,,,,,
0.73,SliceDeviceOperation (in0:dram_interleaved),548.10,416,TM,,,,,
0.60,FillPadDeviceOperation (in0:dram_interleaved),451.71,96,TM,,,,,
0.58,TransposeDeviceOperation (in0:dram_interleaved),433.09,192,TM,,,,,
0.35,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),261.62,64,DM,,,,,
0.29,ConcatDeviceOperation (in0:dram_interleaved),217.45,128,TM,,,,,
0.29,SoftmaxDeviceOperation (in0:dram_interleaved),213.71,32,Compute,,,,,
0.25,UntilizeDeviceOperation (in0:dram_interleaved),189.28,32,TM,,,,,
0.21,ScatterDeviceOperation (in0:dram_interleaved),157.62,32,Other,,,,,
0.18,ReduceDeviceOperation (in0:dram_interleaved),134.40,64,Compute,,,,,
0.15,TypecastDeviceOperation (in0:dram_interleaved),111.32,64,TM,,,,,
0.11,TilizeDeviceOperation (in0:dram_interleaved),80.88,32,TM,,,,,
0.09,EmbeddingsDeviceOperation (in0:dram_interleaved),70.72,64,Compute,,,,,
0.06,InterleavedToShardedDeviceOperation (in0:dram_interleaved),45.28,64,DM,,,,,
