ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
696,0.018720834664652686,,LayerNormDeviceOperation,3,59.286,,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,710659.0
697,0.0017367437616906145,,SliceDeviceOperation,3,4.94,0.56,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,711683.0
698,0.01897755696978986,,TilizeDeviceOperation,3,4.837,55.262,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,712707.0
699,0.002694163231771695,,SliceDeviceOperation,3,4.928,3.604,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,713731.0
700,0.011003061159292627,,TilizeDeviceOperation,3,4.924,29.921,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,714755.0
701,0.6026775574352372,SLOW,MatmulDeviceOperation 2048 x 2048 x 8192,3,1886.068,22.519,110.0,40.02902970624601,7.818169864501173,36.43531237261858,23.960511608676995,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,4,715779.0
702,0.04964497831372272,,UntilizeDeviceOperation,3,156.677,0.541,100,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,716803.0
703,0.05652911481347128,,ReshapeViewDeviceOperation,3,178.45,0.569,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,717827.0
704,0.12089915405358614,,TilizeWithValPaddingDeviceOperation,3,382.319,0.55,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,718851.0
705,0.05504783027054572,,SliceDeviceOperation,3,173.747,0.581,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,719875.0
706,0.05562316611305485,,SliceDeviceOperation,3,175.566,0.584,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,720899.0
707,0.03871012381852559,,UntilizeWithUnpaddingDeviceOperation,3,122.002,0.587,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,721923.0
708,0.028773107557317962,,ReshapeViewDeviceOperation,3,90.631,0.489,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,722947.0
709,0.04695018353876496,,TilizeDeviceOperation,3,148.111,0.573,91,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,723971.0
710,0.05653953527604143,,LayerNormDeviceOperation,3,178.57,0.482,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,724995.0
