Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
34.86,SparseMatmulDeviceOperation (in0:dram_interleaved),28254.09,96,Compute,,,,,
16.18,MatmulDeviceOperation (in0:dram_interleaved),13114.15,352,Compute,6.64,19.71,12.76,4.48,11.27
13.15,UnaryDeviceOperation (in0:dram_interleaved),10658.68,448,Compute,,,,,
12.77,BinaryNgDeviceOperation (in0:dram_interleaved),10350.38,544,Compute,,,,,
4.34,PermuteDeviceOperation (in0:dram_interleaved),3520.11,96,TM,,,,,
3.59,FastReduceNCDeviceOperation (in0:dram_interleaved),2911.07,32,Compute,,,,,
3.32,ReshapeViewDeviceOperation (in0:dram_interleaved),2695.07,320,TM,,,,,
2.04,LayerNormDeviceOperation (in0:dram_interleaved),1651.34,160,Compute,,,,,
1.91,TopKDeviceOperation (in0:dram_interleaved),1548.32,32,Other,,,,,
1.89,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),1529.03,320,TM,,,,,
1.02,MatmulDeviceOperation (in0:l1_interleaved),826.05,64,Compute,1.52,2.01,1.72,0.12,1.71
0.94,TernaryDeviceOperation (in0:dram_interleaved),758.66,96,TM,,,,,
0.65,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),527.97,96,TM,,,,,
0.42,TilizeDeviceOperation (in0:dram_interleaved),342.65,160,TM,,,,,
0.40,UntilizeDeviceOperation (in0:dram_interleaved),325.25,64,TM,,,,,
0.39,CopyDeviceOperation (in0:dram_interleaved),312.77,96,DM,,,,,
0.36,SliceDeviceOperation (in0:dram_interleaved),295.83,192,TM,,,,,
0.28,TypecastDeviceOperation (in0:dram_interleaved),225.57,160,TM,,,,,
0.26,SoftmaxDeviceOperation (in0:dram_interleaved),210.13,32,Compute,,,,,
0.20,FillPadDeviceOperation (in0:dram_interleaved),159.75,32,TM,,,,,
0.20,ScatterDeviceOperation (in0:dram_interleaved),158.88,32,Other,,,,,
0.17,BinaryNgDeviceOperation (in0:l1_interleaved),138.27,32,Compute,,,,,
0.17,ReduceDeviceOperation (in0:dram_interleaved),134.19,64,Compute,,,,,
0.16,ReshapeViewDeviceOperation (in0:l1_interleaved),132.59,32,TM,,,,,
0.13,ConcatDeviceOperation (in0:dram_interleaved),107.31,64,TM,,,,,
0.12,TypecastDeviceOperation (in0:l1_interleaved),95.94,64,TM,,,,,
0.09,TransposeDeviceOperation (in0:l1_interleaved),71.19,32,TM,,,,,
