Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
80.20,SparseMatmulDeviceOperation (in0:dram_interleaved),270898.33,24,Compute,,,,,
6.06,UnaryDeviceOperation (in0:dram_interleaved),20454.04,62,Compute,,,,,
4.86,BinaryNgDeviceOperation (in0:dram_interleaved),16409.96,28,Compute,,,,,
2.14,PermuteDeviceOperation (in0:dram_interleaved),7225.68,25,TM,,,,,
2.08,FastReduceNCDeviceOperation (in0:dram_interleaved),7018.13,8,Compute,,,,,
1.44,MatmulDeviceOperation (in0:dram_interleaved),4873.33,17,Compute,6.08,23.98,12.02,7.71,21.40
0.49,TilizeDeviceOperation (in0:dram_interleaved),1665.73,17,TM,,,,,
0.31,TransposeDeviceOperation (in0:dram_interleaved),1040.41,5,TM,,,,,
0.29,SliceDeviceOperation (in0:dram_interleaved),970.51,35,TM,,,,,
0.27,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),895.53,42,TM,,,,,
0.26,TernaryDeviceOperation (in0:dram_interleaved),887.71,3,TM,,,,,
0.24,ChunkGdnPrepOperation (in0:dram_interleaved),817.17,1,Other,,,,,
0.24,UntilizeDeviceOperation (in0:dram_interleaved),811.70,16,TM,,,,,
0.24,ChunkGdnScanOperation (in0:dram_interleaved),807.58,1,Other,,,,,
0.21,ConcatDeviceOperation (in0:dram_interleaved),718.94,5,TM,,,,,
0.19,ReshapeViewDeviceOperation (in0:dram_interleaved),657.50,7,TM,,,,,
0.14,LayerNormDeviceOperation (in0:dram_interleaved),480.93,5,Compute,,,,,
0.13,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),455.58,6,TM,,,,,
0.12,TopKDeviceOperation (in0:dram_interleaved),393.81,8,Other,,,,,
0.03,ScatterDeviceOperation (in0:dram_interleaved),96.54,8,Other,,,,,
0.02,SoftmaxDeviceOperation (in0:dram_interleaved),59.81,8,Compute,,,,,
0.02,ReduceDeviceOperation (in0:dram_interleaved),59.06,16,Compute,,,,,
0.01,TypecastDeviceOperation (in0:dram_interleaved),38.61,18,TM,,,,,
0.01,CopyDeviceOperation (in0:dram_interleaved),22.05,4,DM,,,,,
