ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
578,0.03362246728312674,,LayerNormDeviceOperation,3,20.241,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,210947.0
579,0.160210450300035,DRAM,MatmulDeviceOperation 32 x 2048 x 9216,3,95.909,0.539,96.0,401.10554796734397,78.34092733737187,12.594850869052955,9.490477663433277,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,211971.0
580,0.005386970080489108,,SliceDeviceOperation,3,2.684,0.559,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,212995.0
581,0.004463394574861003,,SliceDeviceOperation,3,2.14,0.547,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,214019.0
582,0.033705522634352295,,NLPCreateQKVHeadsDecodeDeviceOperation,3,19.305,0.986,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,215043.0
583,0.0035863300659192045,,ShardedToInterleavedDeviceOperation,3,0.669,1.49,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,216067.0
584,0.0035464634973309418,,ShardedToInterleavedDeviceOperation,3,0.657,1.478,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,217091.0
585,0.0034252026845416404,,ShardedToInterleavedDeviceOperation,3,0.658,1.404,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,218115.0
586,0.01122410016462069,,LayerNormDeviceOperation,3,5.301,1.456,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,219139.0
587,0.011225761271645202,,LayerNormDeviceOperation,3,5.296,1.462,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,220163.0
588,0.004279011695140284,,EmbeddingsDeviceOperation,3,1.098,1.478,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,221187.0
589,0.007905208329647754,,TilizeWithValPaddingDeviceOperation,3,3.264,1.495,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,222211.0
590,0.004235822912502998,,EmbeddingsDeviceOperation,3,1.084,1.466,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,223235.0
591,0.007617836814407353,,TilizeWithValPaddingDeviceOperation,3,3.179,1.407,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,224259.0
592,0.003752440768370303,,SliceDeviceOperation,3,1.635,0.624,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,225283.0
593,0.006009885214680725,,TransposeDeviceOperation,3,3.028,0.59,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,226307.0
594,0.009200871808766317,,RotaryEmbeddingHfDeviceOperation,3,5.006,0.533,16,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,227331.0
