Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
39.20,SparseMatmulDeviceOperation (in0:dram_interleaved),22751.23,64,Compute,,,,,
14.86,UnaryDeviceOperation (in0:dram_interleaved),8624.37,128,Compute,,,,,
13.11,MatmulDeviceOperation (in0:dram_interleaved),7607.70,160,Compute,6.60,12.06,9.20,1.77,9.25
7.71,BinaryNgDeviceOperation (in0:dram_interleaved),4472.79,256,Compute,,,,,
6.04,SliceDeviceOperation (in0:dram_interleaved),3504.91,448,TM,,,,,
5.07,DeepseekMoEFastReduceNCDeviceOperation (in0:dram_interleaved),2944.92,32,Other,,,,,
2.81,LayerNormDeviceOperation (in0:dram_interleaved),1631.46,128,Compute,,,,,
2.67,TopKDeviceOperation (in0:dram_interleaved),1546.98,32,Other,,,,,
1.29,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),746.82,96,TM,,,,,
1.07,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),618.29,32,Other,,,,,
0.97,SdpaDecodeDeviceOperation (in0:dram_interleaved),563.53,32,Compute,,,,,
0.82,FillPadDeviceOperation (in0:dram_interleaved),474.32,96,TM,,,,,
0.62,PermuteDeviceOperation (in0:dram_interleaved),359.89,32,TM,,,,,
0.54,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),312.51,64,Other,,,,,
0.52,TransposeDeviceOperation (in0:dram_interleaved),299.24,128,TM,,,,,
0.36,SoftmaxDeviceOperation (in0:dram_interleaved),210.54,32,Compute,,,,,
0.35,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),205.28,64,TM,,,,,
0.31,UntilizeDeviceOperation (in0:dram_interleaved),180.00,32,TM,,,,,
0.27,ScatterDeviceOperation (in0:dram_interleaved),159.38,32,Other,,,,,
0.27,PagedFusedUpdateCacheDeviceOperation (in0:dram_interleaved),155.93,32,Other,,,,,
0.21,ReshapeViewDeviceOperation (in0:dram_interleaved),119.04,32,TM,,,,,
0.19,TypecastDeviceOperation (in0:dram_interleaved),111.46,64,TM,,,,,
0.18,ConcatDeviceOperation (in0:dram_interleaved),105.32,64,TM,,,,,
0.14,TilizeDeviceOperation (in0:dram_interleaved),81.11,32,TM,,,,,
0.12,EmbeddingsDeviceOperation (in0:dram_interleaved),70.40,64,Compute,,,,,
0.12,ReduceDeviceOperation (in0:dram_interleaved),67.86,32,Compute,,,,,
0.11,ShardedToInterleavedDeviceOperation (in0:height_sharded),64.04,96,DM,,,,,
0.08,InterleavedToShardedDeviceOperation (in0:dram_interleaved),46.16,64,DM,,,,,
