ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
1673,0.024796338963975522,,LayerNormDeviceOperation,3,60.295,,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1711107.0
1674,0.9263286313931004,SLOW,MatmulDeviceOperation 2048 x 2048 x 9216,3,2224.87,27.599,110.0,37.70381190811148,7.364025763303024,34.74783305451554,22.850795095825138,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,1712131.0
1675,0.03573230787897738,,SliceDeviceOperation,3,86.333,0.554,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1713155.0
1676,0.009784879226633545,,SliceDeviceOperation,3,23.206,0.587,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1714179.0
1677,0.03625130580206449,,SliceDeviceOperation,3,87.55,0.599,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1715203.0
1678,0.04086059955956076,,NlpCreateHeadsDeviceOperation,3,98.759,0.598,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1716227.0
1679,0.038069032283875114,,LayerNormDeviceOperation,3,92.118,0.451,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1717251.0
1680,0.007874621419391381,,LayerNormDeviceOperation,3,18.559,0.589,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1718275.0
1681,0.002321508142493438,,SliceDeviceOperation,3,5.033,0.612,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1719299.0
1682,0.0021570080083929285,,TilizeDeviceOperation,3,4.641,0.604,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1720323.0
1683,0.0023490619149552734,,SliceDeviceOperation,3,5.219,0.493,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1721347.0
