Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
81.75,SparseMatmulDeviceOperation (in0:dram_interleaved),198367.28,128,Compute,,,,,
6.92,UnaryDeviceOperation (in0:dram_interleaved),16794.14,130,Compute,,,,,
3.25,BinaryNgDeviceOperation (in0:dram_interleaved),7887.19,134,Compute,,,,,
2.91,SliceDeviceOperation (in0:dram_interleaved),7058.98,335,TM,,,,,
2.40,DeepseekMoEFastReduceNCDeviceOperation (in0:dram_interleaved),5833.16,64,Other,,,,,
1.53,MatmulDeviceOperation (in0:dram_interleaved),3710.19,5,Compute,16.02,23.56,21.06,3.22,22.65
0.60,SDPAOperation (in0:dram_interleaved),1446.27,1,Compute,,,,,
0.27,PermuteDeviceOperation (in0:dram_interleaved),655.08,1,TM,,,,,
0.09,LayerNormDeviceOperation (in0:dram_interleaved),230.49,4,Compute,,,,,
0.08,ConcatDeviceOperation (in0:dram_interleaved),191.70,5,TM,,,,,
0.04,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),98.76,1,TM,,,,,
0.03,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),80.50,1,TM,,,,,
0.03,ScatterDeviceOperation (in0:dram_interleaved),69.67,1,Other,,,,,
0.03,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),69.54,2,Other,,,,,
0.02,TopKDeviceOperation (in0:dram_interleaved),52.54,1,Other,,,,,
0.01,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),27.88,3,TM,,,,,
0.01,PagedFillCacheDeviceOperation (in0:dram_interleaved),24.48,2,Other,,,,,
0.01,TilizeDeviceOperation (in0:dram_interleaved),17.01,3,TM,,,,,
0.00,TypecastDeviceOperation (in0:dram_interleaved),11.42,2,TM,,,,,
0.00,UntilizeDeviceOperation (in0:dram_interleaved),9.77,1,TM,,,,,
0.00,SoftmaxDeviceOperation (in0:dram_interleaved),7.54,1,Compute,,,,,
0.00,ReduceDeviceOperation (in0:dram_interleaved),6.48,1,Compute,,,,,
