ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
1923,0.023089837083836412,,LayerNormDeviceOperation,3,59.397,,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1967107.0
1924,1.1449409642931259,SLOW,MatmulDeviceOperation 2048 x 2048 x 12352,3,2931.124,14.157,110.0,37.38367670559144,7.301499356560829,35.35029088363372,23.24698211518421,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,1968131.0
1925,0.06919953851424826,,SliceDeviceOperation,3,177.451,0.56,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1969155.0
1926,0.034648555804492207,,SliceDeviceOperation,3,88.532,0.599,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1970179.0
1927,0.0008412277968486959,,SliceDeviceOperation,3,1.571,0.593,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1971203.0
1928,0.0010033313048366378,,SliceDeviceOperation,3,1.817,0.764,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1972227.0
1929,0.0013524175162830932,,UntilizeWithUnpaddingDeviceOperation,3,3.003,0.476,86,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1973251.0
1930,0.0013819615609043968,,UntilizeWithUnpaddingDeviceOperation,3,3.068,0.487,86,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1974275.0
1931,0.0013609697397261023,,UntilizeWithUnpaddingDeviceOperation,3,3.019,0.482,86,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1975299.0
1932,0.06237641915644404,,UntilizeDeviceOperation,3,159.95,0.509,100,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1976323.0
1933,0.0681522798799089,,ConcatDeviceOperation,3,174.757,0.56,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1977347.0
1934,0.03510026869725477,,SliceDeviceOperation,3,89.7,0.593,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1978371.0
1935,0.01733146954468681,,InterleavedToShardedDeviceOperation,3,43.988,0.596,33,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1979395.0
1936,0.01272570848319728,,"HaloDeviceOperation w=(1,4) s=(1,1) p=((0, 0), (0, 0)) d=(1,1) | INTERLEAVED",3,32.195,0.541,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,1980419.0
1937,0.00200433018509791,,MoveDeviceOperation,3,4.593,0.563,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,1981443.0
1938,0.04224137527216722,,Conv2dDeviceOperation 2048 x 16384 x 4096 [ABH=1|1 SR],3,108.05,0.613,66,,,2543.9880327996293,1672.9719281352782,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,1982467.0
1939,0.021537997266359524,,ShardedToInterleavedDeviceOperation,3,54.459,0.946,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,1983491.0
1940,0.030766623836224607,,UnaryDeviceOperation,3,78.578,0.567,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1984515.0
1941,0.03496965292103426,,SliceDeviceOperation,3,89.368,0.589,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1985539.0
