Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
81.84,SparseMatmulDeviceOperation (in0:dram_interleaved),209922.88,128,Compute,,,,,
6.64,UnaryDeviceOperation (in0:dram_interleaved),17025.31,134,Compute,,,,,
3.11,BinaryNgDeviceOperation (in0:dram_interleaved),7968.49,136,Compute,,,,,
2.83,SliceDeviceOperation (in0:dram_interleaved),7257.17,337,TM,,,,,
2.28,DeepseekMoEFastReduceNCDeviceOperation (in0:dram_interleaved),5839.41,64,Other,,,,,
1.74,MatmulDeviceOperation (in0:dram_interleaved),4465.84,5,Compute,16.26,23.53,20.94,3.04,22.69
0.32,ChunkGdnScanOperation (in0:dram_interleaved),826.18,1,Other,,,,,
0.29,ChunkGdnPrepOperation (in0:dram_interleaved),741.16,1,Other,,,,,
0.26,PermuteDeviceOperation (in0:dram_interleaved),655.46,1,TM,,,,,
0.12,LayerNormDeviceOperation (in0:dram_interleaved),301.11,3,Compute,,,,,
0.11,ConcatDeviceOperation (in0:dram_interleaved),275.12,4,TM,,,,,
0.08,Conv2dDeviceOperation (in0:height_sharded),215.59,2,Compute,1675.33,1678.55,1676.94,2.28,1676.94
0.07,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),183.22,1,TM,,,,,
0.06,UntilizeDeviceOperation (in0:dram_interleaved),165.67,2,TM,,,,,
0.06,ReshapeViewDeviceOperation (in0:dram_interleaved),150.33,2,TM,,,,,
0.04,ShardedToInterleavedDeviceOperation (in0:height_sharded),108.05,2,DM,,,,,
0.03,InterleavedToShardedDeviceOperation (in0:dram_interleaved),86.93,2,DM,,,,,
0.03,ScatterDeviceOperation (in0:dram_interleaved),69.35,1,Other,,,,,
0.02,HaloDeviceOperation (in0:height_sharded),64.02,2,DM,,,,,
0.02,TopKDeviceOperation (in0:dram_interleaved),52.47,1,Other,,,,,
0.01,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),37.16,6,TM,,,,,
0.01,CopyDeviceOperation (in0:dram_interleaved),22.01,4,DM,,,,,
0.01,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),19.91,3,TM,,,,,
0.01,TypecastDeviceOperation (in0:dram_interleaved),15.55,4,TM,,,,,
0.00,MoveDeviceOperation (in0:height_sharded),9.18,2,DM,,,,,
0.00,SoftmaxDeviceOperation (in0:dram_interleaved),7.64,1,Compute,,,,,
0.00,TilizeDeviceOperation (in0:dram_interleaved),7.40,1,TM,,,,,
0.00,ReduceDeviceOperation (in0:dram_interleaved),6.49,1,Compute,,,,,
0.00,TransposeDeviceOperation (in0:dram_interleaved),4.62,2,TM,,,,,
