# whole-layer A/B on the 4-chip mesh; each arm built fresh, N builds per arm
# columns: knob arm layer kind build decode_ms prefill_ms finite
ABLAYER ccl auto 0 linear_attention 0 0.611 29.25 True
ABLAYER ccl auto 0 linear_attention 1 0.611 29.06 True
ABLAYER ccl auto 0 linear_attention 2 0.611 29.19 True
ABLAYER ccl all_reduce 0 linear_attention 0 0.621 29.79 True
ABLAYER ccl all_reduce 0 linear_attention 1 0.621 29.03 True
ABLAYER ccl all_reduce 0 linear_attention 2 0.621 28.95 True
ABLAYER ccl rs_ag 0 linear_attention 0 0.621 29.12 True
ABLAYER ccl rs_ag 0 linear_attention 1 0.621 29.29 True
ABLAYER ccl rs_ag 0 linear_attention 2 0.621 29.42 True
ABLAYER ccl stack_sum 0 linear_attention 0 0.611 29.37 True
ABLAYER ccl stack_sum 0 linear_attention 1 0.612 29.35 True
ABLAYER ccl stack_sum 0 linear_attention 2 0.612 29.49 True
ABLAYER geometry multichip-retuned 0 linear_attention 0 0.611 29.17 True
ABLAYER geometry multichip-retuned 0 linear_attention 1 0.611 29.35 True
ABLAYER geometry multichip-retuned 0 linear_attention 2 0.612 29.76 True
ABLAYER geometry single-chip-inherited 0 linear_attention 0 0.635 29.26 True
ABLAYER geometry single-chip-inherited 0 linear_attention 1 0.635 29.63 True
ABLAYER geometry single-chip-inherited 0 linear_attention 2 0.635 29.11 True
ABLAYER routing select_matmul 0 linear_attention 0 0.612 29.34 True
ABLAYER routing select_matmul 0 linear_attention 1 0.611 29.16 True
ABLAYER routing select_matmul 0 linear_attention 2 0.611 29.14 True
ABLAYER routing gather 0 linear_attention 0 0.669 29.32 True
ABLAYER routing gather 0 linear_attention 1 0.669 29.45 True
ABLAYER routing gather 0 linear_attention 2 0.669 29.48 True
ABLAYER sparse tp-rescaled 0 linear_attention 0 0.611 29.22 True
ABLAYER sparse tp-rescaled 0 linear_attention 1 0.611 29.03 True
ABLAYER sparse tp-rescaled 0 linear_attention 2 0.611 29.15 True
ABLAYER sparse single-chip-inherited 0 linear_attention 0 0.611 33.04 True
ABLAYER sparse single-chip-inherited 0 linear_attention 1 0.612 33.35 True
ABLAYER sparse single-chip-inherited 0 linear_attention 2 0.611 33.00 True
ABLAYER cast bf16 0 linear_attention 0 0.616 29.08 True
ABLAYER cast bf16 0 linear_attention 1 0.616 29.22 True
ABLAYER cast bf16 0 linear_attention 2 0.616 29.23 True
ABLAYER cast block-float 0 linear_attention 0 0.612 29.22 True
ABLAYER cast block-float 0 linear_attention 1 0.612 28.92 True
ABLAYER cast block-float 0 linear_attention 2 0.611 28.91 True
ABLAYER ccl auto 3 full_attention 0 0.502 28.13 True
ABLAYER ccl auto 3 full_attention 1 0.502 28.60 True
ABLAYER ccl auto 3 full_attention 2 0.502 28.54 True
ABLAYER ccl all_reduce 3 full_attention 0 0.508 28.42 True
ABLAYER ccl all_reduce 3 full_attention 1 0.508 28.40 True
ABLAYER ccl all_reduce 3 full_attention 2 0.508 28.54 True
ABLAYER ccl rs_ag 3 full_attention 0 0.509 28.44 True
ABLAYER ccl rs_ag 3 full_attention 1 0.509 28.21 True
ABLAYER ccl rs_ag 3 full_attention 2 0.508 28.10 True
ABLAYER ccl stack_sum 3 full_attention 0 0.502 28.76 True
ABLAYER ccl stack_sum 3 full_attention 1 0.502 28.82 True
ABLAYER ccl stack_sum 3 full_attention 2 0.503 28.57 True
ABLAYER geometry multichip-retuned 3 full_attention 0 0.502 28.11 True
ABLAYER geometry multichip-retuned 3 full_attention 1 0.502 28.10 True
ABLAYER geometry multichip-retuned 3 full_attention 2 0.502 28.43 True
ABLAYER geometry single-chip-inherited 3 full_attention 0 0.517 28.39 True
ABLAYER geometry single-chip-inherited 3 full_attention 1 0.516 28.46 True
ABLAYER geometry single-chip-inherited 3 full_attention 2 0.516 28.64 True
ABLAYER routing select_matmul 3 full_attention 0 0.502 28.29 True
ABLAYER routing select_matmul 3 full_attention 1 0.502 28.09 True
ABLAYER routing select_matmul 3 full_attention 2 0.502 28.24 True
ABLAYER routing gather 3 full_attention 0 0.560 28.96 True
ABLAYER routing gather 3 full_attention 1 0.560 28.54 True
ABLAYER routing gather 3 full_attention 2 0.560 28.64 True
ABLAYER sparse tp-rescaled 3 full_attention 0 0.502 28.32 True
ABLAYER sparse tp-rescaled 3 full_attention 1 0.503 28.83 True
ABLAYER sparse tp-rescaled 3 full_attention 2 0.502 28.30 True
ABLAYER sparse single-chip-inherited 3 full_attention 0 0.502 32.59 True
ABLAYER sparse single-chip-inherited 3 full_attention 1 0.502 32.45 True
ABLAYER sparse single-chip-inherited 3 full_attention 2 0.502 32.78 True
ABLAYER cast bf16 3 full_attention 0 0.507 28.54 True
ABLAYER cast bf16 3 full_attention 1 0.508 28.55 True
ABLAYER cast bf16 3 full_attention 2 0.507 28.55 True
ABLAYER cast block-float 3 full_attention 0 0.502 28.42 True
ABLAYER cast block-float 3 full_attention 1 0.502 28.39 True
ABLAYER cast block-float 3 full_attention 2 0.502 28.38 True
