# CCL sweep, 4 devices, FABRIC_1D_RING, num_links=2, max_payload=8192 B
# columns: shape arm mode us correct_pcc
CCL decode all_reduce_ring eager 144.93 0.999998
CCL decode all_reduce_ring trace 22.11 0.999998
CCL decode rs_ag_ring eager 130.36 0.999998
CCL decode rs_ag_ring trace 22.10 0.999998
CCL decode rs_only_ring eager 68.04 0.999998
CCL decode rs_only_ring trace 14.44 0.999998
CCL decode all_reduce_linear eager 122.65 0.999997
CCL decode all_reduce_linear trace 26.49 0.999997
CCL decode rs_ag_linear eager 124.98 0.999997
CCL decode rs_ag_linear trace 26.50 0.999997
CCL decode rs_only_linear eager 61.73 0.999997
CCL decode rs_only_linear trace 17.67 0.999997
CCL decode ag_stack_sum eager 63.97 0.999998
CCL decode ag_stack_sum trace 15.84 0.999998
CCL decode all_reduce_async eager 120.69 0.999997
CCL decode all_reduce_async trace 33.45 0.999997
CCL decode all_reduce_async_l1 eager 119.88 0.999997
CCL decode all_reduce_async_l1 trace 32.98 0.999997
CCL rows64 all_reduce_ring eager 118.60 0.999998
CCL rows64 all_reduce_ring trace 25.94 0.999998
CCL rows64 rs_ag_ring eager 129.80 0.999998
CCL rows64 rs_ag_ring trace 25.95 0.999998
CCL rows64 rs_only_ring eager 132.91 0.999998
CCL rows64 rs_only_ring trace 16.42 0.999998
CCL rows64 all_reduce_linear eager 118.64 0.999997
CCL rows64 all_reduce_linear trace 30.77 0.999997
CCL rows64 rs_ag_linear eager 120.99 0.999997
CCL rows64 rs_ag_linear trace 30.76 0.999997
CCL rows64 rs_only_linear eager 66.87 0.999997
CCL rows64 rs_only_linear trace 20.81 0.999997
CCL rows64 ag_stack_sum eager 65.43 0.999998
CCL rows64 ag_stack_sum trace 22.70 0.999998
CCL rows64 all_reduce_async eager 120.82 0.999997
CCL rows64 all_reduce_async trace 38.61 0.999997
CCL rows64 all_reduce_async_l1 eager 121.21 0.999997
CCL rows64 all_reduce_async_l1 trace 38.20 0.999997
CCL rows96 all_reduce_ring eager 178.40 0.999998
CCL rows96 all_reduce_ring trace 27.68 0.999998
CCL rows96 rs_ag_ring eager 147.01 0.999998
CCL rows96 rs_ag_ring trace 27.67 0.999998
CCL rows96 rs_only_ring eager 116.09 0.999998
CCL rows96 rs_only_ring trace 16.73 0.999998
CCL rows96 all_reduce_linear eager 334.32 0.999997
CCL rows96 all_reduce_linear trace 34.09 0.999997
CCL rows96 rs_ag_linear eager 129.23 0.999997
CCL rows96 rs_ag_linear trace 34.03 0.999997
CCL rows96 rs_only_linear eager 60.42 0.999997
CCL rows96 rs_only_linear trace 23.42 0.999997
CCL rows96 ag_stack_sum eager 70.24 0.999998
CCL rows96 ag_stack_sum trace 29.29 0.999998
CCL rows96 all_reduce_async eager 120.83 0.999997
CCL rows96 all_reduce_async trace 43.17 0.999997
CCL rows96 all_reduce_async_l1 eager 121.56 0.999997
CCL rows96 all_reduce_async_l1 trace 42.19 0.999997
CCL rows128 all_reduce_ring eager 125.82 0.999998
CCL rows128 all_reduce_ring trace 31.04 0.999998
CCL rows128 rs_ag_ring eager 121.74 0.999998
CCL rows128 rs_ag_ring trace 31.03 0.999998
CCL rows128 rs_only_ring eager 69.61 0.999998
CCL rows128 rs_only_ring trace 18.44 0.999998
CCL rows128 all_reduce_linear eager 118.76 0.999997
CCL rows128 all_reduce_linear trace 37.99 0.999997
CCL rows128 rs_ag_linear eager 122.76 0.999997
CCL rows128 rs_ag_linear trace 37.92 0.999997
CCL rows128 rs_only_linear eager 66.98 0.999997
CCL rows128 rs_only_linear trace 25.48 0.999997
CCL rows128 ag_stack_sum eager 69.29 0.999998
CCL rows128 ag_stack_sum trace 43.69 0.999998
CCL rows128 all_reduce_async eager 129.05 0.999997
CCL rows128 all_reduce_async trace 48.01 0.999997
CCL rows128 all_reduce_async_l1 eager 126.19 0.999997
CCL rows128 all_reduce_async_l1 trace 47.11 0.999997
CCL rows256 all_reduce_ring eager 122.53 0.999998
CCL rows256 all_reduce_ring trace 42.55 0.999998
CCL rows256 rs_ag_ring eager 124.47 0.999998
CCL rows256 rs_ag_ring trace 42.54 0.999998
CCL rows256 rs_only_ring eager 62.22 0.999998
CCL rows256 rs_only_ring trace 24.62 0.999998
CCL rows256 all_reduce_linear eager 128.74 0.999997
CCL rows256 all_reduce_linear trace 53.16 0.999997
CCL rows256 rs_ag_linear eager 129.68 0.999997
CCL rows256 rs_ag_linear trace 53.14 0.999997
CCL rows256 rs_only_linear eager 61.72 0.999997
CCL rows256 rs_only_linear trace 35.72 0.999997
CCL rows256 ag_stack_sum eager 77.96 0.999998
CCL rows256 ag_stack_sum trace 76.60 0.999998
CCL rows256 all_reduce_async eager 133.28 0.999997
CCL rows256 all_reduce_async trace 65.97 0.999997
CCL rows256 all_reduce_async_l1 eager 122.90 0.999997
CCL rows256 all_reduce_async_l1 trace 65.61 0.999997
CCL rows512 all_reduce_ring eager 118.29 0.999998
CCL rows512 all_reduce_ring trace 69.92 0.999998
CCL rows512 rs_ag_ring eager 127.57 0.999998
CCL rows512 rs_ag_ring trace 70.06 0.999998
CCL rows512 rs_only_ring eager 64.16 0.999998
CCL rows512 rs_only_ring trace 37.33 0.999998
CCL rows512 all_reduce_linear eager 131.74 0.999997
CCL rows512 all_reduce_linear trace 91.98 0.999997
CCL rows512 rs_ag_linear eager 129.72 0.999997
CCL rows512 rs_ag_linear trace 92.05 0.999997
CCL rows512 rs_only_linear eager 72.32 0.999997
CCL rows512 rs_only_linear trace 58.82 0.999997
CCL rows512 ag_stack_sum eager 108.53 0.999998
CCL rows512 ag_stack_sum trace 108.23 0.999998
CCL rows512 all_reduce_async eager 120.82 0.999997
CCL rows512 all_reduce_async trace 103.35 0.999997
CCL rows512 all_reduce_async_l1 eager 121.67 0.999997
CCL rows512 all_reduce_async_l1 trace 102.19 0.999997
CCL decode_b32 all_reduce_ring eager 123.64 0.999998
CCL decode_b32 all_reduce_ring trace 121.73 0.999998
CCL decode_b32 rs_ag_ring eager 127.64 0.999998
CCL decode_b32 rs_ag_ring trace 121.90 0.999998
CCL decode_b32 rs_only_ring eager 64.48 0.999998
CCL decode_b32 rs_only_ring trace 63.30 0.999998
CCL decode_b32 all_reduce_linear eager 158.29 0.999997
CCL decode_b32 all_reduce_linear trace 156.54 0.999997
CCL decode_b32 rs_ag_linear eager 156.99 0.999997
CCL decode_b32 rs_ag_linear trace 156.60 0.999997
CCL decode_b32 rs_only_linear eager 99.35 0.999997
CCL decode_b32 rs_only_linear trace 98.10 0.999997
CCL decode_b32 ag_stack_sum eager 194.63 0.999998
CCL decode_b32 ag_stack_sum trace 194.00 0.999998
CCL decode_b32 all_reduce_async eager 179.99 0.999997
CCL decode_b32 all_reduce_async trace 177.84 0.999997
CCL decode_b32 all_reduce_async_l1 eager 175.25 0.999997
CCL decode_b32 all_reduce_async_l1 trace 173.75 0.999997
CCL prefill_2048 all_reduce_ring eager 182.00 0.999998
CCL prefill_2048 all_reduce_ring trace 179.91 0.999998
CCL prefill_2048 rs_ag_ring eager 181.02 0.999998
CCL prefill_2048 rs_ag_ring trace 180.07 0.999998
CCL prefill_2048 rs_only_ring eager 107.44 0.999998
CCL prefill_2048 rs_only_ring trace 102.35 0.999998
CCL prefill_2048 all_reduce_linear eager 252.72 0.999997
CCL prefill_2048 all_reduce_linear trace 250.68 0.999997
CCL prefill_2048 rs_ag_linear eager 251.52 0.999997
CCL prefill_2048 rs_ag_linear trace 250.28 0.999997
CCL prefill_2048 rs_only_linear eager 177.44 0.999997
CCL prefill_2048 rs_only_linear trace 175.67 0.999997
CCL prefill_2048 ag_stack_sum eager 373.79 0.999998
