# DENSE decode program-config sweep, per-device TP=4 shapes. grid 11x10
# columns: role M K N family cores in0_block_w per_core_N us spread
# --- attn_in M=32 K=2048 N=2560 weight=bfloat8_b fidelity=HiFi2 single_chip=(2048, 9216)
DENSE attn_in 32 2048 2560 default - - - 43.07 0.43
DENSE attn_in 32 2048 2560 mcast1d 4 1 20 67.00 0.27
DENSE attn_in 32 2048 2560 mcast1d 4 2 20 55.78 0.21
DENSE attn_in 32 2048 2560 mcast1d 4 4 20 50.59 0.58
DENSE attn_in 32 2048 2560 mcast1d 4 8 20 49.66 0.19
DENSE attn_in 32 2048 2560 mcast1d 4 16 20 52.14 0.17
DENSE attn_in 32 2048 2560 mcast1d 4 32 20 FAIL RuntimeError
DENSE attn_in 32 2048 2560 mcast1d 8 1 10 48.28 0.29
DENSE attn_in 32 2048 2560 mcast1d 8 2 10 35.63 0.27
DENSE attn_in 32 2048 2560 mcast1d 8 4 10 29.99 0.13
DENSE attn_in 32 2048 2560 mcast1d 8 8 10 28.03 0.06
DENSE attn_in 32 2048 2560 mcast1d 8 16 10 28.75 0.31
DENSE attn_in 32 2048 2560 mcast1d 8 32 10 32.13 0.20
DENSE attn_in 32 2048 2560 mcast1d 22 1 4 53.23 0.35
DENSE attn_in 32 2048 2560 mcast1d 22 2 4 31.47 0.20
DENSE attn_in 32 2048 2560 mcast1d 22 4 4 19.86 0.19
DENSE attn_in 32 2048 2560 mcast1d 22 8 4 18.24 0.20
DENSE attn_in 32 2048 2560 mcast1d 22 16 4 18.92 0.14
DENSE attn_in 32 2048 2560 mcast1d 22 32 4 20.42 0.05
DENSE attn_in 32 2048 2560 mcast1d 33 1 3 55.00 0.25
DENSE attn_in 32 2048 2560 mcast1d 33 2 3 30.84 0.13
DENSE attn_in 32 2048 2560 mcast1d 33 4 3 19.69 0.13
DENSE attn_in 32 2048 2560 mcast1d 33 8 3 18.24 0.07
DENSE attn_in 32 2048 2560 mcast1d 33 16 3 18.70 0.08
DENSE attn_in 32 2048 2560 mcast1d 33 32 3 20.24 0.05
DENSE attn_in 32 2048 2560 mcast1d 33 1 3 55.10 0.06
DENSE attn_in 32 2048 2560 mcast1d 33 2 3 30.91 0.04
DENSE attn_in 32 2048 2560 mcast1d 33 4 3 19.69 0.01
DENSE attn_in 32 2048 2560 mcast1d 33 8 3 18.23 0.08
DENSE attn_in 32 2048 2560 mcast1d 33 16 3 18.50 0.17
DENSE attn_in 32 2048 2560 mcast1d 33 32 3 20.09 0.08
DENSE attn_in 32 2048 2560 mcast1d 55 1 2 61.04 0.33
DENSE attn_in 32 2048 2560 mcast1d 55 2 2 33.53 0.05
DENSE attn_in 32 2048 2560 mcast1d 55 4 2 20.40 0.07
DENSE attn_in 32 2048 2560 mcast1d 55 8 2 18.12 0.04
DENSE attn_in 32 2048 2560 mcast1d 55 16 2 19.09 0.11
DENSE attn_in 32 2048 2560 mcast1d 55 32 2 20.43 0.18
DENSE attn_in 32 2048 2560 mcast1d 66 1 2 61.05 0.26
DENSE attn_in 32 2048 2560 mcast1d 66 2 2 33.45 0.07
DENSE attn_in 32 2048 2560 mcast1d 66 4 2 20.34 0.02
DENSE attn_in 32 2048 2560 mcast1d 66 8 2 18.11 0.19
DENSE attn_in 32 2048 2560 mcast1d 66 16 2 18.99 0.07
DENSE attn_in 32 2048 2560 mcast1d 66 32 2 20.53 0.10
DENSE attn_in 32 2048 2560 mcast1d 88 1 1 82.15 0.30
DENSE attn_in 32 2048 2560 mcast1d 88 2 1 43.15 0.08
DENSE attn_in 32 2048 2560 mcast1d 88 4 1 24.46 0.10
DENSE attn_in 32 2048 2560 mcast1d 88 8 1 17.96 0.12
DENSE attn_in 32 2048 2560 mcast1d 88 16 1 18.68 0.17
DENSE attn_in 32 2048 2560 mcast1d 88 32 1 19.54 0.26
DENSE attn_in 32 2048 2560 mcast1d 110 1 1 82.12 0.21
DENSE attn_in 32 2048 2560 mcast1d 110 2 1 43.25 0.12
DENSE attn_in 32 2048 2560 mcast1d 110 4 1 24.52 0.21
DENSE attn_in 32 2048 2560 mcast1d 110 8 1 17.94 0.06
