# routed-expert chain: EP vs intermediate-TP, tp=4
# E[max local active experts] over 4 devices at top-8: 3.512
# columns: phase arm experts_per_device inter_per_device active tokens us spread
MOEPAR decode single 256 512 8 32 665.43 0.76
MOEPAR decode ep 64 512 1 32 199.51 60.80
MOEPAR decode ep 64 512 2 32 248.17 5.67
MOEPAR decode ep 64 512 3 32 198.17 50.19
MOEPAR decode ep 64 512 4 32 204.32 0.26
MOEPAR decode ep 64 512 5 32 211.69 1.60
MOEPAR decode ep 64 512 6 32 219.99 0.64
MOEPAR decode ep 64 512 7 32 228.81 0.50
MOEPAR decode ep 64 512 8 32 237.01 0.07
MOEPAR decode tp 256 128 8 32 472.71 2.91
MOEPAR prefill single 256 512 162 32 1638.32 10.75
MOEPAR prefill ep 64 512 20 32 336.17 9.16
MOEPAR prefill ep 64 512 41 32 515.58 5.53
MOEPAR prefill ep 64 512 63 32 705.46 3.48
MOEPAR prefill ep 64 512 64 32 711.97 7.87
MOEPAR prefill tp 256 128 162 32 1299.36 2.60
