# whole-layer A/B on the 4-chip mesh; each arm built fresh, N builds per arm
# columns: knob arm layer kind build decode_ms prefill_ms finite
ABLAYER router fused_gate 0 linear_attention 0 0.567 29.17 True
ABLAYER router fused_gate 0 linear_attention 1 0.565 29.04 True
ABLAYER router fused_gate 0 linear_attention 2 0.566 29.12 True
ABLAYER router fused_gate_local 0 linear_attention 0 0.567 29.04 True
ABLAYER router fused_gate_local 0 linear_attention 1 0.567 29.09 True
ABLAYER router fused_gate_local 0 linear_attention 2 0.567 29.33 True
ABLAYER router topk 0 linear_attention 0 0.621 29.68 True
ABLAYER router topk 0 linear_attention 1 0.620 29.15 True
ABLAYER router topk 0 linear_attention 2 0.621 29.08 True
ABLAYER collective all_reduce 0 linear_attention 0 0.566 28.90 True
ABLAYER collective all_reduce 0 linear_attention 1 0.565 29.38 True
ABLAYER collective all_reduce 0 linear_attention 2 0.566 28.88 True
ABLAYER collective stack_sum_async 0 linear_attention 0 0.579 28.91 True
ABLAYER collective stack_sum_async 0 linear_attention 1 0.580 29.01 True
ABLAYER collective stack_sum_async 0 linear_attention 2 0.579 29.12 True
ABLAYER collective stack_sum-deprecated 0 linear_attention 0 0.562 29.04 True
ABLAYER collective stack_sum-deprecated 0 linear_attention 1 0.562 30.23 True
ABLAYER collective stack_sum-deprecated 0 linear_attention 2 0.562 29.48 True
ABLAYER policy optimized 0 linear_attention 0 0.566 29.04 True
ABLAYER policy optimized 0 linear_attention 1 0.565 29.07 True
ABLAYER policy optimized 0 linear_attention 2 0.565 29.61 True
ABLAYER policy bfp4-projections 0 linear_attention 0 0.566 28.82 True
ABLAYER policy bfp4-projections 0 linear_attention 1 0.566 28.83 True
ABLAYER policy bfp4-projections 0 linear_attention 2 0.565 28.83 True
ABLAYER geometry multichip-retuned 0 linear_attention 0 0.566 29.08 True
ABLAYER geometry multichip-retuned 0 linear_attention 1 0.566 29.08 True
ABLAYER geometry multichip-retuned 0 linear_attention 2 0.565 29.11 True
ABLAYER geometry single-chip-inherited 0 linear_attention 0 0.584 29.48 True
ABLAYER geometry single-chip-inherited 0 linear_attention 1 0.583 29.28 True
ABLAYER geometry single-chip-inherited 0 linear_attention 2 0.583 28.93 True
ABLAYER sparse tp-rescaled 0 linear_attention 0 0.565 29.15 True
ABLAYER sparse tp-rescaled 0 linear_attention 1 0.566 30.72 True
ABLAYER sparse tp-rescaled 0 linear_attention 2 0.566 28.91 True
ABLAYER sparse single-chip-inherited 0 linear_attention 0 0.565 33.34 True
ABLAYER sparse single-chip-inherited 0 linear_attention 1 0.566 33.52 True
ABLAYER sparse single-chip-inherited 0 linear_attention 2 0.565 33.10 True
ABLAYER cast block-float 0 linear_attention 0 0.566 29.01 True
ABLAYER cast block-float 0 linear_attention 1 0.566 28.93 True
ABLAYER cast block-float 0 linear_attention 2 0.565 28.92 True
ABLAYER cast bf16 0 linear_attention 0 0.569 29.47 True
ABLAYER cast bf16 0 linear_attention 1 0.569 29.12 True
ABLAYER cast bf16 0 linear_attention 2 0.569 29.16 True
ABLAYER router_fidelity hifi4-inherited 0 linear_attention 0 0.565 29.65 True
ABLAYER router_fidelity hifi4-inherited 0 linear_attention 1 0.565 28.91 True
ABLAYER router_fidelity hifi4-inherited 0 linear_attention 2 0.565 29.02 True
ABLAYER router_fidelity hifi2 0 linear_attention 0 0.565 28.96 True
ABLAYER router_fidelity hifi2 0 linear_attention 1 0.565 28.95 True
ABLAYER router_fidelity hifi2 0 linear_attention 2 0.566 29.10 True
ABLAYER state_fidelity hifi4-inherited 0 linear_attention 0 0.565 29.56 True
ABLAYER state_fidelity hifi4-inherited 0 linear_attention 1 0.566 29.02 True
ABLAYER state_fidelity hifi4-inherited 0 linear_attention 2 0.566 29.02 True
ABLAYER state_fidelity hifi2 0 linear_attention 0 0.565 29.53 True
ABLAYER state_fidelity hifi2 0 linear_attention 1 0.565 29.04 True
ABLAYER state_fidelity hifi2 0 linear_attention 2 0.565 28.95 True
ABLAYER residual l1 0 linear_attention 0 0.565 29.25 True
ABLAYER residual l1 0 linear_attention 1 0.566 29.13 True
ABLAYER residual l1 0 linear_attention 2 0.566 29.10 True
ABLAYER residual dram-interleaved-inherited 0 linear_attention 0 0.566 28.96 True
ABLAYER residual dram-interleaved-inherited 0 linear_attention 1 0.566 29.09 True
ABLAYER residual dram-interleaved-inherited 0 linear_attention 2 0.565 29.36 True
ABLAYER router fused_gate 3 full_attention 0 0.453 28.46 True
ABLAYER router fused_gate 3 full_attention 1 0.453 28.43 True
ABLAYER router fused_gate 3 full_attention 2 0.453 28.45 True
ABLAYER router fused_gate_local 3 full_attention 0 0.455 28.24 True
ABLAYER router fused_gate_local 3 full_attention 1 0.455 28.44 True
ABLAYER router fused_gate_local 3 full_attention 2 0.455 28.39 True
