# Host-only A/B sweep of the TTI-release EngineCore deadlock
# script: doc/tti_release/repro/hang_scheduler_sim.py (run from /home/ttuser/dev/ornith/vllm)
# real TTScheduler (async_scheduling=True) + faithful mock of the TT runner's cached-state bookkeeping
# 'unpatched' = apply_cached_req_state_update called without the resync kwargs
# captured 2026-08-19T20:07:59Z

seed=0 max_tokens=35 num_blocks=118 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=0 max_tokens=35 num_blocks=120 | unpatched: HANG | patched: COMPLETED 32/32
seed=0 max_tokens=35 num_blocks=122 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=0 max_tokens=41 num_blocks=118 | unpatched: HANG | patched: COMPLETED 32/32
seed=0 max_tokens=41 num_blocks=120 | unpatched: HANG | patched: COMPLETED 32/32
seed=0 max_tokens=41 num_blocks=122 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=0 max_tokens=47 num_blocks=118 | unpatched: HANG | patched: COMPLETED 32/32
seed=0 max_tokens=47 num_blocks=120 | unpatched: HANG | patched: COMPLETED 32/32
seed=0 max_tokens=47 num_blocks=122 | unpatched: HANG | patched: COMPLETED 32/32
seed=1 max_tokens=35 num_blocks=118 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=1 max_tokens=35 num_blocks=120 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=1 max_tokens=35 num_blocks=122 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=1 max_tokens=41 num_blocks=118 | unpatched: HANG | patched: COMPLETED 32/32
seed=1 max_tokens=41 num_blocks=120 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=1 max_tokens=41 num_blocks=122 | unpatched: HANG | patched: COMPLETED 32/32
seed=1 max_tokens=47 num_blocks=118 | unpatched: HANG | patched: COMPLETED 32/32
seed=1 max_tokens=47 num_blocks=120 | unpatched: HANG | patched: COMPLETED 32/32
seed=1 max_tokens=47 num_blocks=122 | unpatched: HANG | patched: COMPLETED 32/32
seed=2 max_tokens=35 num_blocks=118 | unpatched: HANG | patched: COMPLETED 32/32
seed=2 max_tokens=35 num_blocks=120 | unpatched: HANG | patched: COMPLETED 32/32
seed=2 max_tokens=35 num_blocks=122 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=2 max_tokens=41 num_blocks=118 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=2 max_tokens=41 num_blocks=120 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=2 max_tokens=41 num_blocks=122 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=2 max_tokens=47 num_blocks=118 | unpatched: HANG | patched: COMPLETED 32/32
seed=2 max_tokens=47 num_blocks=120 | unpatched: HANG | patched: COMPLETED 32/32
seed=2 max_tokens=47 num_blocks=122 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=3 max_tokens=35 num_blocks=118 | unpatched: HANG | patched: COMPLETED 32/32
seed=3 max_tokens=35 num_blocks=120 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32
seed=3 max_tokens=35 num_blocks=122 | unpatched: HANG | patched: COMPLETED 32/32
seed=3 max_tokens=41 num_blocks=118 | unpatched: HANG | patched: COMPLETED 32/32
seed=3 max_tokens=41 num_blocks=120 | unpatched: HANG | patched: COMPLETED 32/32
seed=3 max_tokens=41 num_blocks=122 | unpatched: HANG | patched: COMPLETED 32/32
seed=3 max_tokens=47 num_blocks=118 | unpatched: HANG | patched: COMPLETED 32/32
seed=3 max_tokens=47 num_blocks=120 | unpatched: HANG | patched: COMPLETED 32/32
seed=3 max_tokens=47 num_blocks=122 | unpatched: COMPLETED 32/32 | patched: COMPLETED 32/32

# canonical single case, verbose (seed 0, max_tokens 35, num_blocks 120):
UNPATCHED RESULT: HANG at step 324 after 31 completed; running=[('r4', 386, 386, 1, 34, 35, 352)]; drift_events=[('r4', 33, 32, 1), ('r3', 34, 34, 0), ('r4', 35, 34, 1), ('r11', 27, 26, 1), ('r4', 35, 34, 1), ('r4', 35, 34, 1)]; empty_prefills=[(34, 'r4', 384, 385), (74, 'r4', 386, 387), (111, 'r11', 359, 360), (185, 'r4', 386, 387), (259, 'r4', 386, 387)]
PATCHED   RESULT: COMPLETED 32/32 in 263 steps; drift_events=7; empty_prefills=0
