Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
67.88,MatmulDeviceOperation (in0:dram_interleaved),11784.63,160,Compute,8.28,25.39,10.23,3.11,9.44
10.01,SdpaDecodeDeviceOperation (in0:dram_interleaved),1738.36,20,Compute,,,,,
7.41,ReshapeViewDeviceOperation (in0:dram_interleaved),1286.95,140,TM,,,,,
6.04,LayerNormDeviceOperation (in0:dram_interleaved),1048.90,64,Compute,,,,,
3.31,BinaryNgDeviceOperation (in0:dram_interleaved),574.70,200,Compute,,,,,
1.39,UnaryDeviceOperation (in0:dram_interleaved),241.44,80,Compute,,,,,
1.32,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),229.34,28,DM,,,,,
1.07,SliceDeviceOperation (in0:dram_interleaved),186.16,148,TM,,,,,
0.72,ConcatDeviceOperation (in0:dram_interleaved),125.50,80,TM,,,,,
0.56,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),96.54,30,TM,,,,,
0.19,EmbeddingsDeviceOperation (in0:dram_interleaved),32.63,30,Compute,,,,,
0.09,InterleavedToShardedDeviceOperation (in0:dram_interleaved),16.46,28,DM,,,,,
