Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
72.72,SparseMatmulDeviceOperation (in0:dram_interleaved),44542.12,6,Compute,,,,,
8.32,UnaryDeviceOperation (in0:dram_interleaved),5097.05,17,Compute,,,,,
6.72,BinaryNgDeviceOperation (in0:dram_interleaved),4113.86,23,Compute,,,,,
5.70,ReshapeViewDeviceOperation (in0:dram_interleaved),3489.75,9,TM,,,,,
2.98,FastReduceNCDeviceOperation (in0:dram_interleaved),1825.00,2,Compute,,,,,
1.42,MatmulDeviceOperation (in0:dram_interleaved),872.71,13,Compute,6.83,64.14,32.53,16.50,41.21
0.58,SDPAOperation (in0:dram_interleaved),353.46,1,Compute,,,,,
0.57,TransposeDeviceOperation (in0:dram_interleaved),348.08,6,TM,,,,,
0.18,LayerNormDeviceOperation (in0:dram_interleaved),110.66,4,Compute,,,,,
0.17,SliceDeviceOperation (in0:dram_interleaved),105.90,16,TM,,,,,
0.15,TopKDeviceOperation (in0:dram_interleaved),91.94,2,Other,,,,,
0.12,ConcatDeviceOperation (in0:dram_interleaved),72.61,5,TM,,,,,
0.11,GatherDeviceOperation (in0:dram_interleaved),67.91,2,Other,,,,,
0.08,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),50.14,6,TM,,,,,
0.05,FillPadDeviceOperation (in0:dram_interleaved),29.33,4,TM,,,,,
0.04,ScatterDeviceOperation (in0:dram_interleaved),24.40,2,Other,,,,,
0.02,ReduceDeviceOperation (in0:dram_interleaved),14.50,4,Compute,,,,,
0.02,UntilizeDeviceOperation (in0:dram_interleaved),13.06,2,TM,,,,,
0.02,PagedFillCacheDeviceOperation (in0:dram_interleaved),12.45,2,Other,,,,,
0.02,TilizeDeviceOperation (in0:dram_interleaved),12.29,4,TM,,,,,
0.01,TypecastDeviceOperation (in0:dram_interleaved),3.90,2,TM,,,,,
