Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
15.72,MatmulDeviceOperation (in0:dram_interleaved),380.71,8,Compute,2.19,9.67,6.65,2.77,3.69
9.83,LayerNormDeviceOperation (in0:dram_interleaved),238.10,13,Compute,,,,,
8.91,TopKDeviceOperation (in0:dram_interleaved),215.71,3,Other,,,,,
7.82,MatmulDeviceOperation (in0:width_sharded),189.47,12,Compute,6.54,32.36,16.79,8.88,19.48
6.42,SparseMatmulDeviceOperation (in0:dram_interleaved),155.59,2,Compute,,,,,
6.19,SparseMatmulDeviceOperation (in0:l1_interleaved),150.05,2,Compute,,,,,
5.49,ReduceScatterDeviceOperation (in0:l1_interleaved),133.10,6,DM,,,,,
3.64,ReshapeViewDeviceOperation (in0:dram_interleaved),88.11,23,TM,,,,,
3.30,FillPadDeviceOperation (in0:dram_interleaved),79.85,10,TM,,,,,
3.20,AllGatherDeviceOperation (in0:l1_interleaved),77.55,6,DM,,,,,
3.11,BinaryNgDeviceOperation (in0:l1_interleaved),75.41,9,Compute,,,,,
2.92,UnaryDeviceOperation (in0:l1_interleaved),70.69,9,Compute,,,,,
2.70,GatherDeviceOperation (in0:dram_interleaved),65.34,2,Other,,,,,
2.65,BinaryNgDeviceOperation (in0:dram_interleaved),64.18,34,Compute,,,,,
2.33,SdpaDecodeDeviceOperation (in0:dram_interleaved),56.33,3,Compute,,,,,
1.99,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),48.26,9,TM,,,,,
1.39,FillPadDeviceOperation (in0:l1_interleaved),33.66,2,TM,,,,,
1.21,SliceDeviceOperation (in0:dram_interleaved),29.25,35,TM,,,,,
1.09,SliceDeviceOperation (in0:l1_interleaved),26.44,12,TM,,,,,
1.07,AllGatherDeviceOperation (in0:dram_interleaved),25.98,2,DM,,,,,
1.02,SamplingDeviceOperation (in0:dram_interleaved),24.66,1,Other,,,,,
0.91,UnaryDeviceOperation (in0:dram_interleaved),21.97,13,Compute,,,,,
0.89,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),21.59,6,DM,,,,,
0.88,FastReduceNCDeviceOperation (in0:l1_interleaved),21.29,2,Compute,,,,,
0.72,ManualSeedDeviceOperation (in0:dram_interleaved),17.46,1,Other,,,,,
0.65,PadDeviceOperation (in0:dram_interleaved),15.85,1,TM,,,,,
0.64,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),15.61,8,TM,,,,,
0.57,InterleavedToShardedDeviceOperation (in0:dram_interleaved),13.87,15,DM,,,,,
0.54,ShardedToInterleavedDeviceOperation (in0:width_sharded),13.11,12,DM,,,,,
0.48,TypecastDeviceOperation (in0:dram_interleaved),11.64,4,TM,,,,,
0.38,ConcatDeviceOperation (in0:dram_interleaved),9.30,10,TM,,,,,
0.34,ScatterDeviceOperation (in0:dram_interleaved),8.20,2,Other,,,,,
0.31,EmbeddingsDeviceOperation (in0:dram_interleaved),7.50,7,Compute,,,,,
0.21,ReduceDeviceOperation (in0:dram_interleaved),5.20,4,Compute,,,,,
0.18,UntilizeDeviceOperation (in0:dram_interleaved),4.35,1,TM,,,,,
0.17,TransposeDeviceOperation (in0:dram_interleaved),4.04,2,TM,,,,,
0.07,InterleavedToShardedDeviceOperation (in0:l1_interleaved),1.63,3,DM,,,,,
0.05,PlusOneDeviceOperation (in0:dram_interleaved),1.25,2,Other,,,,,
