ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
2569,0.19273298883330459,,LayerNormDeviceOperation,3,30.187,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,436227.0,
2570,0.013497119236545728,,InterleavedToShardedDeviceOperation,3,1.523,0.591,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,437251.0,
2573,0.013586504132151992,,SliceDeviceOperation,3,1.509,0.619,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,440323.0,
2574,0.014569737983820887,,SliceDeviceOperation,3,1.555,0.727,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,441347.0,
2575,0.014837892670639674,,SliceDeviceOperation,3,1.653,0.671,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,442371.0,
2577,0.022333454630764884,,ReshapeViewDeviceOperation,3,2.873,0.625,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,444419.0,
2580,0.03944427750396383,,LayerNormDeviceOperation,3,4.642,1.536,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,447491.0,
2582,0.03035255669372677,,TilizeWithValPaddingDeviceOperation,3,3.213,1.541,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,449539.0,
2588,0.014033428610183307,,SliceDeviceOperation,3,0.672,1.526,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,455683.0,
2590,0.01516350907606249,,ConcatDeviceOperation,3,1.753,0.622,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,457731.0,
2591,0.022959148900008722,,BinaryNgDeviceOperation,3,3.049,0.547,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,458755.0,
2592,0.021905684058934907,,BinaryNgDeviceOperation,3,2.899,0.532,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,459779.0,
2594,0.015106047357458467,,ConcatDeviceOperation,3,1.742,0.624,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,461827.0,
2596,0.014710199962630729,,SliceDeviceOperation,3,1.656,0.648,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,463875.0,
2599,0.01651705178095733,,UnaryDeviceOperation,3,2.05,0.537,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,466947.0,
2600,0.01516350907606249,,ConcatDeviceOperation,3,1.755,0.62,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,467971.0,
2601,0.02222491582895728,,BinaryNgDeviceOperation,3,2.946,0.535,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,468995.0,
2602,0.022071684579346537,,BinaryNgDeviceOperation,3,2.931,0.526,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,470019.0,
2603,0.01691289917578507,,BinaryNgDeviceOperation,3,2.121,0.528,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,471043.0,
2604,0.015080508815856677,,ConcatDeviceOperation,3,1.755,0.607,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,472067.0,
2606,0.01361204267375378,,InterleavedToShardedDeviceOperation,3,0.593,1.539,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,474115.0,
2607,0.03336610460273793,,PagedUpdateCacheDeviceOperation,3,3.695,1.531,1,,,,,"BFP8, BF16 => BFP8",BFLOAT8_B,BFLOAT8_B,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,475139.0,
2610,0.01912198302433986,,ReshapeViewDeviceOperation,3,2.408,0.587,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,478211.0,
2611,0.10907511118124279,SLOW,MatmulDeviceOperation 32 x 2048 x 32,3,15.517,1.567,1.0,12.802474705162078,2.5004833408519684,0.2703037958368241,9.776612985996243,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_DRAM_INTERLEAVED,2,1,1,479235.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy"
2612,0.028252011646979585,,UnaryDeviceOperation,3,3.861,0.564,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,480259.0,
2615,0.024485076760715645,,BinaryNgDeviceOperation,3,3.31,0.525,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,483331.0,
2616,0.018279211151480807,,ReshapeViewDeviceOperation,3,2.273,0.59,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,484355.0,
2618,0.09477352788424068,SLOW,MatmulDeviceOperation 32 x 1536 x 2048,3,14.283,0.561,12,220.2428061331653,43.016173072883845,14.095539592522577,21.242554603893257,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,3,,,486403.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
2619,0.013088502570917097,,ShardedToInterleavedDeviceOperation,3,1.48,0.57,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,487427.0,
2624,0.1668241383782892,SLOW,MatmulDeviceOperation 32 x 2048 x 256,3,25.582,0.547,8.0,46.752873113908215,9.131420530060199,1.3116422484559456,5.930095524341478,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,1,492547.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy"
2625,0.022505839786576963,,UnaryDeviceOperation,3,2.976,0.549,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,493571.0,
2626,0.01758967052823249,,BinaryNgDeviceOperation,3,2.214,0.541,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,494595.0,
2629,0.29788154924327226,,TopKDeviceOperation,3,45.012,1.644,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,497667.0,
2634,0.21927391819296432,,GatherDeviceOperation,3,32.759,1.585,1,,,,,"BF16, UINT16 => BF16",BFLOAT16,BFLOAT16,UINT16,False,DEV_0_DRAM_INTERLEAVED,,,,502787.0,
2637,0.025538541601789456,,BinaryNgDeviceOperation,3,3.461,0.539,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,505859.0,
2641,0.01791528693365531,,UntilizeWithUnpaddingDeviceOperation,3,1.284,1.522,1,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,509955.0,
2642,0.017347054383015488,,UntilizeWithUnpaddingDeviceOperation,3,1.204,1.513,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,510979.0,
2643,0.035824189231910164,,ScatterDeviceOperation,3,4.007,1.604,1,,,,,"BF16, UINT16 => BF16",BFLOAT16,BFLOAT16,UINT16,False,DEV_0_DRAM_INTERLEAVED,,,,512003.0,
2648,0.019600830679373408,,UntilizeWithUnpaddingDeviceOperation,3,1.541,1.529,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,517123.0,
2655,0.09405206408399013,,UnaryDeviceOperation,3,14.179,0.552,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,524291.0,
2657,0.01635743589594615,,TransposeDeviceOperation,3,2.024,0.538,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,526339.0,
2658,0.022735686660993067,,ReshapeViewDeviceOperation,3,2.951,0.61,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,527363.0,
2660,0.1108691937287685,,FillPadDeviceOperation,3,16.905,0.46,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,529411.0,
2665,0.01114118877378065,,ShardedToInterleavedDeviceOperation,3,1.182,0.563,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,534531.0,
2666,0.01250111611407594,,SliceDeviceOperation,3,1.335,0.623,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,535555.0,
2668,0.019856216095391305,,UnaryDeviceOperation,3,2.578,0.532,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,537603.0,
2671,0.031137866847981796,SLOW,MatmulDeviceOperation 32 x 128 x 2048,3,4.338,0.539,12,60.42969110189026,11.802674043337943,3.867500230520977,5.828481009055774,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,2,,,540675.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
2678,0.013452426788742596,,InterleavedToShardedDeviceOperation,2,1.519,0.588,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,437250.0,
2679,0.16428305348891115,SLOW,MatmulDeviceOperation 32 x 2048 x 2048,2,25.181,0.55,12,166.56622056312298,32.53246495373496,10.66023811603987,16.065414791967882,LoFi BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,True,DEV_0_L1_WIDTH_SHARDED,2,,,438274.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
2680,0.012922502050505467,,ShardedToInterleavedDeviceOperation,2,1.479,0.545,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,439298.0,
2681,0.013407734340939467,,SliceDeviceOperation,2,1.496,0.604,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,440322.0,
2682,0.014940046837046833,,SliceDeviceOperation,2,1.551,0.789,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,441346.0,
2683,0.014505891629816416,,SliceDeviceOperation,2,1.614,0.658,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,442370.0,
2685,0.022620763223785013,,ReshapeViewDeviceOperation,2,2.919,0.624,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,444418.0,
2686,0.022058915308545646,,ReshapeViewDeviceOperation,2,2.851,0.604,4,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,445442.0,
2689,0.016906514540384623,,EmbeddingsDeviceOperation,2,1.1,1.548,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,448514.0,
2690,0.030320633516724534,,TilizeWithValPaddingDeviceOperation,2,3.222,1.527,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,449538.0,
2694,0.014518660900617307,,SliceDeviceOperation,2,1.601,0.673,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,453634.0,
2696,0.013988736162380175,,SliceDeviceOperation,2,0.674,1.517,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,455682.0,
2697,0.016580898134961806,,UnaryDeviceOperation,2,2.084,0.513,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,456706.0,
2699,0.022888917910603802,,BinaryNgDeviceOperation,2,3.075,0.51,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,458754.0,
2702,0.015157124440662043,,ConcatDeviceOperation,2,1.772,0.602,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,461826.0,
