2026-08-20 14:06:44.201 | info     |          Device | Opening user mode device driver (tt_cluster.cpp:228)
2026-08-20 14:06:44.201 | info     |             UMD | Cluster constructor started. (cluster.cpp:348)
2026-08-20 14:06:44.201 | info     |             UMD | Creating TopologyDiscovery for architecture: blackhole (topology_discovery.cpp:95)
2026-08-20 14:06:44.201 | info     |             UMD | Starting topology discovery. (topology_discovery.cpp:114)
2026-08-20 14:06:44.213 | info     |             UMD | Established firmware bundle version: 19.11.0 (topology_discovery.cpp:574)
2026-08-20 14:06:44.214 | info     |             UMD | Completed topology discovery. (topology_discovery.cpp:118)
2026-08-20 14:06:44.292 | info     |             UMD | Opening local chip ids/PCIe ids: {0, 1, 2, 3}/[0, 1, 2, 3] and remote chip ids {} (cluster.cpp:168)
2026-08-20 14:06:44.292 | info     |             UMD | IOMMU: enabled (cluster.cpp:142)
2026-08-20 14:06:44.292 | info     |             UMD | KMD version: 2.10.0 (cluster.cpp:145)
2026-08-20 14:06:44.292 | info     |             UMD | Cluster constructor completed. (cluster.cpp:520)
2026-08-20 14:06:44.293 | info     |             UMD | Starting devices in cluster (cluster.cpp:1024)
2026-08-20 14:06:44.470 | info     |             UMD | Starting devices in cluster completed. (cluster.cpp:1032)
2026-08-20 14:06:44.594 | info     |     Distributed | Using auto discovery to generate mesh graph. (metal_env.cpp:408)
2026-08-20 14:06:44.594 | info     |     Distributed | Constructing control plane using auto-discovery (no mesh graph descriptor). (metal_env.cpp:470)
2026-08-20 14:06:44.594 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x1) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-08-20 14:06:44.594 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x2) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-08-20 14:06:44.594 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=2 (bus_id=0x3) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-08-20 14:06:44.594 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=3 (bus_id=0x4) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-08-20 14:06:44.594 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=1 (bus_id=0x2) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-08-20 14:06:44.594 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=0 (bus_id=0x1) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-08-20 14:06:44.594 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=2 (bus_id=0x3) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-08-20 14:06:44.594 | warning  |          Always | Unknown motherboard 'B850M-C' for chip_id=3 (bus_id=0x4) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-08-20 14:06:44.594 | info     |          Fabric | Logical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {2:4} (topology_mapper_utils.cpp:2342)
2026-08-20 14:06:44.594 | info     |          Fabric | Physical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {2:4} (topology_mapper_utils.cpp:2350)
2026-08-20 14:06:44.597 | info     |    BuildKernels | Using pre-compiled firmware from: /home/ttuser/.local/lib/model-bringup/tt-metal/tt_metal/pre-compiled/5822202293905037534/ (build_env_manager.cpp:347)
2026-08-20 14:06:44.598 | info     |    BuildKernels | Using pre-compiled firmware from: /home/ttuser/.local/lib/model-bringup/tt-metal/tt_metal/pre-compiled/5822202293905037534/ (build_env_manager.cpp:347)
2026-08-20 14:06:44.599 | info     |    BuildKernels | Using pre-compiled firmware from: /home/ttuser/.local/lib/model-bringup/tt-metal/tt_metal/pre-compiled/5822202293905037534/ (build_env_manager.cpp:347)
2026-08-20 14:06:44.599 | info     |    BuildKernels | Using pre-compiled firmware from: /home/ttuser/.local/lib/model-bringup/tt-metal/tt_metal/pre-compiled/5822202293905037534/ (build_env_manager.cpp:347)
2026-08-20 14:06:44.687 | info     |           Metal | ShmResourceTracker: removed orphaned shm '/tt_device_154095680226368_memory' (shm_resource_tracker.cpp:282)
2026-08-20 14:06:44.687 | info     |           Metal | ShmResourceTracker: removed orphaned shm '/tt_device_154095680226369_memory' (shm_resource_tracker.cpp:282)
2026-08-20 14:06:44.687 | info     |           Metal | ShmResourceTracker: removed orphaned shm '/tt_device_154095680227712_memory' (shm_resource_tracker.cpp:282)
2026-08-20 14:06:44.687 | info     |           Metal | ShmResourceTracker: removed orphaned shm '/tt_device_154095680227713_memory' (shm_resource_tracker.cpp:282)
2026-08-20 14:06:45.266 | info     |           Metal | [Real-time profiler] Device 0 sync complete: 100 samples, frequency=1.349994 GHz, device_time_at_sync=2700958567734 cycles (realtime_profiler_manager.cpp:1127)
2026-08-20 14:06:45.268 | info     |           Metal | [Real-time profiler] Device 1 sync complete: 100 samples, frequency=1.350000 GHz, device_time_at_sync=2701824452119 cycles (realtime_profiler_manager.cpp:1127)
2026-08-20 14:06:45.268 | info     |           Metal | [Real-time profiler] Device 3 sync complete: 100 samples, frequency=1.349997 GHz, device_time_at_sync=2704003894517 cycles (realtime_profiler_manager.cpp:1127)
2026-08-20 14:06:45.269 | info     |           Metal | [Real-time profiler] Device 2 sync complete: 100 samples, frequency=1.349989 GHz, device_time_at_sync=2702967351905 cycles (realtime_profiler_manager.cpp:1127)
mesh_open_ok shape=MeshShape([1, 4]) devices=4
mesh_close_ok
2026-08-20 14:06:45.547 | info     |    BuildKernels | JIT cache stats: 8/8 hits (100.0%) [8 cached, 18 build-once dedup, 0 merged artifacts, 0 merged genfiles] (build_cache_telemetry.cpp:207)
2026-08-20 14:06:45.547 | info     |    BuildKernels | JIT telemetry: 3 registered TelemetryTokens (build_cache_telemetry.cpp:230)
2026-08-20 14:06:45.558 | info     |          Device | Closing user mode device drivers (tt_cluster.cpp:513)
2026-08-20 14:06:45.558 | info     |             UMD | Closing devices in cluster (cluster.cpp:1037)
2026-08-20 14:06:46.095 | info     |             UMD | Closing devices in cluster completed. (cluster.cpp:1046)
2026-08-20 14:06:46.095 | info     |             UMD | Cluster destructor started. (cluster.cpp:754)
2026-08-20 14:06:46.095 | info     |             UMD | Cluster destructor completed. (cluster.cpp:757)
