ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
175,3.1721229761877736,,LayerNormDeviceOperation,3,85.245,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,125955.0,
176,12.33896112739956,DRAM,MatmulDeviceOperation 32 x 5120 x 12288,3,331.04,0.547,96.0,383.4679555340744,74.89608506524891,12.163278878685356,4.582639672054849,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,4,126979.0,Try a DRAM-sharded program config (MatmulMultiCoreReuseMultiCastDRAMShardedProgramConfig) to improve throughput further • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
177,4.6667363768398,,ReshapeViewDeviceOperation,3,124.857,0.553,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,128003.0,
178,0.13578599026463942,,SliceDeviceOperation,3,3.181,0.468,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,129027.0,
179,0.13578599026463942,,SliceDeviceOperation,3,3.174,0.475,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,130051.0,
180,2.2992449346318278,,ReshapeViewDeviceOperation,3,61.266,0.522,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,131075.0,
181,2.7518897100714206,SLOW,MatmulDeviceOperation 32 x 5120 x 1024,3,73.479,0.473,32.0,148.0555805059949,28.917105567577128,4.566533567413819,5.1614646260735615,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,1,132099.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy"
182,2.7526711586314527,SLOW,MatmulDeviceOperation 32 x 5120 x 1024,3,72.922,1.051,32.0,149.1864732179589,29.137983050382598,4.60141411371054,5.200889433357001,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,1,133123.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy"
183,0.49223816914788987,,ReshapeViewDeviceOperation,3,12.669,0.559,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,134147.0,
184,0.5086858007447577,,ReshapeViewDeviceOperation,3,13.128,0.542,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,135171.0,
185,0.30443003188682244,,LayerNormDeviceOperation,3,7.648,0.533,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,136195.0,
186,0.3128771187024084,,LayerNormDeviceOperation,3,7.871,0.537,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,137219.0,
187,0.09667635042683836,,SliceDeviceOperation,3,2.013,0.585,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,138243.0,
188,0.09388546271243774,,SliceDeviceOperation,3,1.919,0.604,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,139267.0,
189,0.08964331338654874,,SliceDeviceOperation,3,1.813,0.596,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,140291.0,
190,0.13057633319775822,,SliceDeviceOperation,3,3.016,0.493,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,141315.0,
191,0.08763387423218028,,UnaryDeviceOperation,3,1.859,0.496,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,142339.0,
192,0.0877455097407563,,ConcatDeviceOperation,3,1.741,0.617,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,143363.0,
193,0.13247413684355064,,BinaryNgDeviceOperation,3,3.027,0.533,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,144387.0,
194,0.13117172257683035,,BinaryNgDeviceOperation,3,3.039,0.486,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,145411.0,
195,0.10731893557775284,,BinaryNgDeviceOperation,3,2.387,0.497,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,146435.0,
196,0.1563269238426282,,ConcatDeviceOperation,3,3.704,0.497,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,147459.0,
197,0.09567163084965413,,SliceDeviceOperation,3,1.987,0.584,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,148483.0,
198,0.09366219169528567,,SliceDeviceOperation,3,1.884,0.633,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,149507.0,
199,0.1129007110065541,,SliceDeviceOperation,3,1.824,1.21,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,150531.0,
200,0.25821293133634776,,SliceDeviceOperation,3,2.972,3.967,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,151555.0,
201,0.13340443274835084,,UnaryDeviceOperation,3,1.256,2.329,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,152579.0,
202,0.20101833910923053,,ConcatDeviceOperation,3,1.361,4.041,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,153603.0,
203,0.24079779199848772,,BinaryNgDeviceOperation,3,2.579,3.892,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,154627.0,
204,0.19491559797374108,,BinaryNgDeviceOperation,3,2.545,2.693,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,155651.0,
205,0.23365311944962205,,BinaryNgDeviceOperation,3,3.411,2.868,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,156675.0,
206,0.22327101715205167,,ConcatDeviceOperation,3,3.456,2.544,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,157699.0,
207,0.09515066514296602,,InterleavedToShardedDeviceOperation,3,2.063,0.494,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,158723.0,
208,0.09574605452203815,,InterleavedToShardedDeviceOperation,3,2.074,0.499,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,159747.0,
209,0.09474133494485393,,InterleavedToShardedDeviceOperation,3,2.04,0.506,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,160771.0,
210,0.4778744003777745,,PagedUpdateCacheDeviceOperation,3,12.155,0.687,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,161795.0,
211,0.5318687746923791,,PagedUpdateCacheDeviceOperation,3,13.756,0.537,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,162819.0,
212,1.3647440923419156,,SdpaDecodeDeviceOperation,3,34.15,2.525,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_HEIGHT_SHARDED,,,,163843.0,
213,2.286965028688465,,ReshapeViewDeviceOperation,3,60.899,0.559,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,164867.0,
214,0.17009530323367134,,UnaryDeviceOperation,3,4.055,0.516,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,165891.0,
215,0.21247958465636915,,BinaryNgDeviceOperation,3,5.161,0.549,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,166915.0,
216,6.11587691366519,DRAM,MatmulDeviceOperation 32 x 6144 x 5120,3,163.759,0.594,80.0,388.5921140212141,75.89689726976839,12.294078004873013,5.558303496126761,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,167939.0,Try a DRAM-sharded program config (MatmulMultiCoreReuseMultiCastDRAMShardedProgramConfig) to improve throughput further • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
217,0.16384371475341392,,BinaryNgDeviceOperation,3,3.847,0.556,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,168963.0,
218,3.1919568848781146,,LayerNormDeviceOperation,3,85.121,0.657,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,169987.0,
219,17.291893736392097,DRAM,MatmulDeviceOperation 32 x 5120 x 17408,3,464.164,0.524,109.0,387.1470256202549,75.61465344145604,12.289306021147697,4.077905338524311,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,5,171011.0,Try a DRAM-sharded program config (MatmulMultiCoreReuseMultiCastDRAMShardedProgramConfig) to improve throughput further • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
220,17.231275655235315,DRAM,MatmulDeviceOperation 32 x 5120 x 17408,3,462.508,0.551,109.0,388.53319726361485,75.88539009054978,12.333307618462815,4.092506191354092,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,5,172035.0,Try a DRAM-sharded program config (MatmulMultiCoreReuseMultiCastDRAMShardedProgramConfig) to improve throughput further • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
221,0.2794981016381767,,UnaryDeviceOperation,3,6.972,0.539,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,173059.0,
222,0.3429442823455514,,BinaryNgDeviceOperation,3,8.66,0.556,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,174083.0,
223,17.118635427082104,DRAM,MatmulDeviceOperation 32 x 17408 x 5120,3,459.471,0.561,80.0,391.10131433757516,76.38697545655765,12.41482800873178,5.612896054294967,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,175107.0,Try a DRAM-sharded program config (MatmulMultiCoreReuseMultiCastDRAMShardedProgramConfig) to improve throughput further • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy
224,0.16202033478000546,,BinaryNgDeviceOperation,3,3.827,0.527,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,176131.0,
