Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
81.39,MatmulDeviceOperation (in0:dram_interleaved),2361.47,11,Compute,1.50,6.40,4.82,1.41,4.64
5.88,LayerNormDeviceOperation (in0:dram_interleaved),170.68,2,Compute,,,,,
4.14,BinaryNgDeviceOperation (in0:dram_interleaved),120.23,22,Compute,,,,,
2.30,ReshapeViewDeviceOperation (in0:dram_interleaved),66.83,10,TM,,,,,
1.15,UnaryDeviceOperation (in0:dram_interleaved),33.25,9,Compute,,,,,
0.98,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),28.40,4,TM,,,,,
0.94,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),27.40,9,TM,,,,,
0.74,FillPadDeviceOperation (in0:dram_interleaved),21.57,4,TM,,,,,
0.69,CopyDeviceOperation (in0:dram_interleaved),19.96,2,DM,,,,,
0.64,PermuteDeviceOperation (in0:dram_interleaved),18.58,2,TM,,,,,
0.53,ReduceDeviceOperation (in0:dram_interleaved),15.49,4,Compute,,,,,
0.28,SliceDeviceOperation (in0:dram_interleaved),8.07,4,TM,,,,,
0.14,ConcatDeviceOperation (in0:dram_interleaved),4.16,3,TM,,,,,
0.12,TransposeDeviceOperation (in0:dram_interleaved),3.34,1,TM,,,,,
0.07,TypecastDeviceOperation (in0:dram_interleaved),1.99,1,TM,,,,,
