ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
231,0.5606530828906675,,LayerNormDeviceOperation,0,103.93,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,132096.0
232,1.0891493965413537,DRAM,MatmulDeviceOperation 32 x 5120 x 8192,0,201.377,0.522,86.0,420.7930796466329,82.18614836848299,13.329995779061164,11.212380708862547,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,133120.0
233,0.8056292957284525,DRAM,MatmulDeviceOperation 32 x 5120 x 6144,0,148.816,0.526,96.0,427.6116546607891,83.51790130093536,13.528558219546284,10.194045244039867,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,134144.0
234,0.17128698824155175,,NLPCreateQKVHeadsDecodeDeviceOperation,0,31.125,0.627,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,135168.0
235,0.011797828271739535,,ShardedToInterleavedDeviceOperation,0,0.669,1.518,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,136192.0
236,0.011555074603596744,,ShardedToInterleavedDeviceOperation,0,0.664,1.478,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,137216.0
237,0.011209824942238114,,ShardedToInterleavedDeviceOperation,0,0.673,1.405,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,138240.0
238,0.03813390400225275,,LayerNormDeviceOperation,0,5.608,1.461,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,139264.0
239,0.03864638396833197,,LayerNormDeviceOperation,0,5.693,1.471,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,140288.0
240,0.01229412465994257,,SliceDeviceOperation,0,1.667,0.612,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,141312.0
241,0.012148472459056895,,SliceDeviceOperation,0,0.796,1.456,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,142336.0
242,0.01177085564194589,,SliceDeviceOperation,0,0.728,1.454,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,143360.0
243,0.013664334253459642,,UnaryDeviceOperation,0,2.013,0.52,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,144384.0
244,0.01232109728973621,,ConcatDeviceOperation,0,1.684,0.6,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,145408.0
245,0.01908583284198193,,BinaryNgDeviceOperation,0,3.019,0.519,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,146432.0
246,0.01863269266144872,,BinaryNgDeviceOperation,0,2.935,0.519,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,147456.0
247,0.015126250788275104,,BinaryNgDeviceOperation,0,2.287,0.517,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,148480.0
248,0.012493722120415527,,SliceDeviceOperation,0,1.712,0.604,6,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,149504.0
249,0.012450565912745697,,ConcatDeviceOperation,0,1.687,0.621,8,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,150528.0
250,0.012267152030148927,,SliceDeviceOperation,0,1.61,0.664,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,151552.0
251,0.012218601296520368,,SliceDeviceOperation,0,0.81,1.455,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,152576.0
252,0.011733093960234791,,SliceDeviceOperation,0,0.728,1.447,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,153600.0
253,0.013588810890037443,,UnaryDeviceOperation,0,1.994,0.525,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,154624.0
254,0.012385831601240955,,ConcatDeviceOperation,0,1.69,0.606,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,155648.0
255,0.018670454343159823,,BinaryNgDeviceOperation,0,2.942,0.519,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,156672.0
256,0.01835217731159483,,BinaryNgDeviceOperation,0,2.877,0.525,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,157696.0
