Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
72.32,MatmulDeviceOperation (in0:dram_interleaved),13470.82,5,Compute,68.35,79.33,72.10,4.34,74.76
6.85,SDPAOperation (in0:dram_interleaved),1275.18,1,Compute,,,,,
5.68,BinaryNgDeviceOperation (in0:dram_interleaved),1057.17,10,Compute,,,,,
5.18,SliceDeviceOperation (in0:dram_interleaved),964.94,10,TM,,,,,
4.09,UnaryDeviceOperation (in0:dram_interleaved),760.91,4,Compute,,,,,
2.90,LayerNormDeviceOperation (in0:dram_interleaved),541.05,4,Compute,,,,,
1.07,ConcatDeviceOperation (in0:dram_interleaved),198.38,4,TM,,,,,
0.85,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),158.51,1,TM,,,,,
0.60,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),112.19,1,TM,,,,,
0.24,TypecastDeviceOperation (in0:dram_interleaved),44.74,2,TM,,,,,
0.23,PagedFillCacheDeviceOperation (in0:dram_interleaved),42.40,2,Other,,,,,
