ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
1116,0.3823771905413766,,LayerNormDeviceOperation,0,103.975,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,952320.0
1117,0.9662273506102239,DRAM,MatmulDeviceOperation 32 x 5120 x 10240,0,262.21,0.524,107.0,406.14774417451656,79.32573128408526,12.796778154913998,8.651335179583386,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,953344.0
1118,0.5497037574318993,DRAM,MatmulDeviceOperation 32 x 5120 x 6144,0,148.933,0.541,96.0,427.27572801192474,83.45229062732905,13.517930344517332,10.186036922891748,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,954368.0
1119,0.22668283383293977,SLOW,MatmulDeviceOperation 32 x 5120 x 64,0,61.017,0.622,2.0,26.985790845174293,5.270662274448104,0.3436996246947572,12.431265360776807,HiFi4 BF16 x FP32 => FP32,FLOAT32,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,2,1,1,955392.0
1120,0.22584066622886206,SLOW,MatmulDeviceOperation 32 x 5120 x 64,0,60.006,1.404,2.0,27.44045595440456,5.359464053594641,0.3494903842949038,12.640711237518223,HiFi4 BF16 x FP32 => FP32,FLOAT32,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,2,1,1,956416.0
1121,0.013746823161756822,,UnaryDeviceOperation,0,3.206,0.532,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,957440.0
1122,0.012272110457673227,,BinaryNgDeviceOperation,0,2.81,0.527,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,958464.0
1123,0.018641692511221334,,UnaryDeviceOperation,0,4.533,0.536,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,959488.0
1124,0.011996291373368313,,BinaryNgDeviceOperation,0,2.749,0.513,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,960512.0
1125,0.021605828270551453,,UntilizeWithUnpaddingDeviceOperation,0,5.355,0.52,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,961536.0
1126,0.012253722518719564,,SliceDeviceOperation,0,2.662,0.67,3,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,962560.0
1127,0.05059625282489309,,TilizeWithValPaddingDeviceOperation,0,13.227,0.531,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,963584.0
1128,0.08444109326300117,,UntilizeWithUnpaddingDeviceOperation,0,5.084,17.877,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,964608.0
1129,0.17909117023307486,,UntilizeWithUnpaddingDeviceOperation,0,4.547,44.151,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,965632.0
1130,0.014434532078623738,,ConcatDeviceOperation,0,3.316,0.609,4,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,966656.0
1131,0.20709600125950028,,TilizeWithValPaddingDeviceOperation,0,13.604,42.709,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,967680.0
1132,0.028159289713636168,,SliceDeviceOperation,0,7.071,0.586,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,968704.0
1133,0.03945316181897463,,BinaryNgDeviceOperation,0,10.156,0.572,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,969728.0
1134,0.11883021669413761,,UntilizeWithUnpaddingDeviceOperation,0,5.297,27.015,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,970752.0
1135,0.009410947156483603,,SliceDeviceOperation,0,1.987,0.572,1,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,971776.0
1136,0.2060736318536767,,TilizeWithValPaddingDeviceOperation,0,12.811,43.224,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,972800.0
1137,0.03845653552768623,,BinaryNgDeviceOperation,0,9.887,0.57,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,973824.0
1138,0.04017396902595814,,BinaryNgDeviceOperation,0,10.357,0.567,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,974848.0
1139,0.12137510744532429,,UntilizeWithUnpaddingDeviceOperation,0,5.276,27.728,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,975872.0
1140,0.009484498912298245,,SliceDeviceOperation,0,2.001,0.578,1,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,976896.0
