Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
73.93,MatmulDeviceOperation (in0:dram_interleaved),17945.00,80,Compute,2.87,12.67,9.96,2.74,9.76
7.01,LayerNormDeviceOperation (in0:dram_interleaved),1701.77,24,Compute,,,,,
6.73,BinaryNgDeviceOperation (in0:dram_interleaved),1632.98,192,Compute,,,,,
3.87,ReshapeViewDeviceOperation (in0:dram_interleaved),940.35,88,TM,,,,,
2.57,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),623.64,56,TM,,,,,
1.48,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),358.91,64,TM,,,,,
1.23,SliceDeviceOperation (in0:dram_interleaved),298.29,80,TM,,,,,
1.10,UnaryDeviceOperation (in0:dram_interleaved),266.87,64,Compute,,,,,
0.76,CopyDeviceOperation (in0:dram_interleaved),184.63,16,DM,,,,,
0.46,FillPadDeviceOperation (in0:dram_interleaved),110.67,16,TM,,,,,
0.42,ReduceDeviceOperation (in0:dram_interleaved),101.64,16,Compute,,,,,
0.22,ConcatDeviceOperation (in0:dram_interleaved),53.41,24,TM,,,,,
0.16,TransposeDeviceOperation (in0:dram_interleaved),38.48,8,TM,,,,,
0.07,TypecastDeviceOperation (in0:dram_interleaved),17.11,8,TM,,,,,
