ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
75,1.0290976817880997,,LayerNormDeviceOperation,0,191.681,,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,74752.0
76,8.590214936302095,FLOP,MatmulDeviceOperation 2048 x 5120 x 8192,0,1599.56,0.464,110.0,86.53131611193078,16.90064767811148,107.4037184225662,70.63060186669179,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,4,75776.0
77,6.654626945178017,FLOP,MatmulDeviceOperation 2048 x 5120 x 6144,0,1238.963,0.536,110.0,88.01869305217346,17.19115098675263,103.99747117549111,68.39059289213168,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,76800.0
78,0.8564262138717755,,NlpCreateHeadsDeviceOperation,0,158.962,0.557,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,77824.0
79,0.7505534028740174,,LayerNormDeviceOperation,0,139.353,0.446,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,78848.0
80,0.15294111393981452,,LayerNormDeviceOperation,0,27.907,0.58,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,79872.0
81,0.35538259894450386,,SliceDeviceOperation,0,65.707,0.487,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,80896.0
82,0.11309385211297057,,SliceDeviceOperation,0,20.537,0.528,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,81920.0
83,0.11344819316397728,,SliceDeviceOperation,0,20.684,0.447,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,82944.0
84,0.08959459786666285,,UnaryDeviceOperation,0,16.212,0.476,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,83968.0
85,0.18508951111296754,,ConcatDeviceOperation,0,33.895,0.58,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,84992.0
86,0.24193977458432975,,BinaryNgDeviceOperation,0,44.49,0.574,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,86016.0
87,0.25925953565323284,,BinaryNgDeviceOperation,0,47.79,0.5,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,87040.0
88,0.25142108210066044,,BinaryNgDeviceOperation,0,46.336,0.494,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,88064.0
89,0.545508048024809,,SliceDeviceOperation,0,101.133,0.474,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,89088.0
90,0.7401379234959418,,ConcatDeviceOperation,0,137.305,0.554,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,90112.0
91,0.07039038666286054,,SliceDeviceOperation,0,12.518,0.593,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,91136.0
92,0.027595651548097264,,SliceDeviceOperation,0,4.687,0.453,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,92160.0
93,0.031246438134226857,,SliceDeviceOperation,0,5.342,0.478,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,93184.0
94,0.019692772349887304,,UnaryDeviceOperation,0,3.207,0.461,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,94208.0
