Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
81.91,MatmulDeviceOperation (in0:dram_interleaved),1931.95,5,Compute,5.48,7.61,6.54,1.04,6.38
7.83,LayerNormDeviceOperation (in0:dram_interleaved),184.60,4,Compute,,,,,
4.41,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),104.03,1,TM,,,,,
2.59,ReshapeViewDeviceOperation (in0:dram_interleaved),61.05,1,TM,,,,,
1.10,BinaryNgDeviceOperation (in0:dram_interleaved),26.04,4,Compute,,,,,
0.59,SliceDeviceOperation (in0:dram_interleaved),13.88,6,TM,,,,,
0.44,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),10.33,2,Compute,,,,,
0.41,TransposeDeviceOperation (in0:dram_interleaved),9.63,1,TM,,,,,
0.37,SDPAOperation (in0:dram_interleaved),8.72,1,Compute,,,,,
0.18,ConcatDeviceOperation (in0:dram_interleaved),4.34,2,TM,,,,,
0.17,PagedFillCacheDeviceOperation (in0:dram_interleaved),3.91,2,Other,,,,,
