ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
3,3.590469166151025,,LayerNormDeviceOperation,3,85.24,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,50179.0
4,16.328968523581725,DRAM,MatmulDeviceOperation 32 x 5120 x 14336,3,387.121,0.539,90.0,382.42777839486877,132.78742305377386,12.134760139594595,6.559329805186268,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,5,51203.0
5,0.16128468368362595,,SliceDeviceOperation,3,3.284,0.545,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,52227.0
6,0.13550609229830887,,SliceDeviceOperation,3,2.69,0.527,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,53251.0
7,4.427220339140116,,NlpCreateHeadsDeviceOperation,3,103.956,1.149,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,54275.0
8,0.3240436332144514,,LayerNormDeviceOperation,3,7.157,0.536,24,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,55299.0
9,0.3124601158435981,,LayerNormDeviceOperation,3,6.274,1.144,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,56323.0
10,0.0985652023556241,,SliceDeviceOperation,3,1.753,0.587,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,57347.0
11,0.1344109233832464,,SliceDeviceOperation,3,2.683,0.508,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,58371.0
12,0.252436434921904,,RotaryEmbeddingDeviceOperation,3,5.444,0.549,24,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,59395.0
13,0.14157164321250112,,ConcatDeviceOperation,3,2.8,0.561,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,60419.0
14,0.09527969561043664,,SliceDeviceOperation,3,1.582,0.68,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,61443.0
15,0.09570091442392223,,SliceDeviceOperation,3,1.716,0.556,24,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,62467.0
16,0.21499008240303655,,RotaryEmbeddingDeviceOperation,3,4.565,0.539,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,63491.0
17,0.09839671483022987,,ConcatDeviceOperation,3,1.746,0.59,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,64515.0
18,0.11596153935257829,,PagedFillCacheDeviceOperation,3,1.758,0.995,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,65539.0
19,0.11381332340380185,,PagedFillCacheDeviceOperation,3,1.705,0.997,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,66563.0
20,0.38773191781347005,,SDPAOperation,3,8.67,0.535,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,67587.0
21,0.3971250973541984,,TransposeDeviceOperation,3,8.878,0.55,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,68611.0
22,2.5845986395474765,,ReshapeViewDeviceOperation,3,60.824,0.536,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,69635.0
23,0.2903461281356055,,BinaryNgDeviceOperation,3,6.354,0.539,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,70659.0
24,6.946740672004072,DRAM,MatmulDeviceOperation 32 x 6144 x 5120,3,164.421,0.499,80.0,387.0275451432602,134.38456428585422,12.244578977137955,7.446027756367676,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,71683.0
25,0.19877315808384194,,BinaryNgDeviceOperation,3,4.143,0.576,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,72707.0
26,3.6119092037574414,,LayerNormDeviceOperation,3,85.108,0.641,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,73731.0
27,19.51578370076953,DRAM,MatmulDeviceOperation 32 x 5120 x 17408,3,462.779,0.538,109.0,388.30567506304305,134.82835939688997,12.326085323664211,5.501352239671605,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,5,74755.0
28,19.60297599516104,DRAM,MatmulDeviceOperation 32 x 5120 x 17408,3,464.831,0.556,109.0,386.59149669449755,134.2331585744783,12.27167172585305,5.477066478188815,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,5,75779.0
29,0.5216373786205337,,BinaryNgDeviceOperation,3,11.821,0.563,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,76803.0
30,19.11457278092452,DRAM,MatmulDeviceOperation 32 x 17408 x 5120,3,453.263,0.529,80.0,396.4579328116347,137.65900444848427,12.584864504713599,7.652958144758269,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,77827.0
31,0.18672630001815457,,BinaryNgDeviceOperation,3,3.864,0.569,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,78851.0
