Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
81.69,MatmulDeviceOperation (in0:dram_interleaved),1932.69,5,Compute,5.48,7.63,6.53,1.03,6.38
7.78,LayerNormDeviceOperation (in0:dram_interleaved),184.11,4,Compute,,,,,
4.39,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),103.95,1,TM,,,,,
3.27,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),77.36,1,TM,,,,,
1.11,BinaryNgDeviceOperation (in0:dram_interleaved),26.24,4,Compute,,,,,
0.57,SliceDeviceOperation (in0:dram_interleaved),13.59,6,TM,,,,,
0.44,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),10.41,2,Compute,,,,,
0.38,SDPAOperation (in0:dram_interleaved),8.98,1,Compute,,,,,
0.19,ConcatDeviceOperation (in0:dram_interleaved),4.55,2,TM,,,,,
0.17,PagedFillCacheDeviceOperation (in0:dram_interleaved),3.98,2,Other,,,,,
