Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
82.37,MatmulDeviceOperation (in0:dram_interleaved),1936.28,4,Compute,5.50,7.56,6.76,0.95,6.36
7.25,LayerNormDeviceOperation (in0:dram_interleaved),170.45,2,Compute,,,,,
2.60,ReshapeViewDeviceOperation (in0:dram_interleaved),61.17,1,TM,,,,,
1.48,SdpaDecodeDeviceOperation (in0:height_sharded),34.79,1,Compute,,,,,
1.31,BinaryNgDeviceOperation (in0:dram_interleaved),30.88,6,Compute,,,,,
1.13,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),26.50,2,DM,,,,,
0.79,SliceDeviceOperation (in0:dram_interleaved),18.61,4,TM,,,,,
0.69,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),16.16,1,Other,,,,,
0.60,LayerNormDeviceOperation (in0:l1_interleaved),14.16,2,Compute,,,,,
0.46,SliceDeviceOperation (in0:l1_interleaved),10.88,8,TM,,,,,
0.39,BinaryNgDeviceOperation (in0:l1_interleaved),9.05,4,Compute,,,,,
0.34,ConcatDeviceOperation (in0:l1_interleaved),7.96,4,TM,,,,,
0.18,InterleavedToShardedDeviceOperation (in0:dram_interleaved),4.28,2,DM,,,,,
0.15,ShardedToInterleavedDeviceOperation (in0:height_sharded),3.62,2,DM,,,,,
0.13,UnaryDeviceOperation (in0:l1_interleaved),3.12,2,Compute,,,,,
0.12,CopyDeviceOperation (in0:dram_interleaved),2.78,1,DM,,,,,
