Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
68.20,MatmulDeviceOperation (in0:dram_interleaved),3845.12,22,Compute,5.50,17.10,8.13,3.42,7.67
7.93,BinaryNgDeviceOperation (in0:dram_interleaved),446.94,43,Compute,,,,,
7.40,ReshapeViewDeviceOperation (in0:dram_interleaved),417.09,7,TM,,,,,
3.20,LayerNormDeviceOperation (in0:dram_interleaved),180.53,4,Compute,,,,,
2.32,PermuteDeviceOperation (in0:dram_interleaved),130.81,2,TM,,,,,
1.53,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),86.07,10,TM,,,,,
1.29,AccumulationDeviceOperation (in0:dram_interleaved),72.54,1,Compute,,,,,
1.28,TilizeDeviceOperation (in0:dram_interleaved),72.15,6,TM,,,,,
1.19,PadDeviceOperation (in0:dram_interleaved),67.35,6,TM,,,,,
1.13,SliceDeviceOperation (in0:dram_interleaved),63.78,20,TM,,,,,
0.89,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),49.93,6,TM,,,,,
0.77,TransposeDeviceOperation (in0:dram_interleaved),43.17,7,TM,,,,,
0.67,TypecastDeviceOperation (in0:dram_interleaved),37.79,7,TM,,,,,
0.64,UnaryDeviceOperation (in0:dram_interleaved),36.23,9,Compute,,,,,
0.39,FillPadDeviceOperation (in0:dram_interleaved),21.94,3,TM,,,,,
0.38,UntilizeDeviceOperation (in0:dram_interleaved),21.26,3,TM,,,,,
0.34,CopyDeviceOperation (in0:dram_interleaved),19.16,2,DM,,,,,
0.32,ConcatDeviceOperation (in0:dram_interleaved),18.29,3,TM,,,,,
0.14,ReduceDeviceOperation (in0:dram_interleaved),8.00,1,Compute,,,,,
