Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
68.61,MatmulDeviceOperation (in0:dram_interleaved),3845.45,23,Compute,5.48,17.12,8.02,3.40,7.66
7.96,BinaryNgDeviceOperation (in0:dram_interleaved),445.89,43,Compute,,,,,
7.40,ReshapeViewDeviceOperation (in0:dram_interleaved),414.66,7,TM,,,,,
3.22,LayerNormDeviceOperation (in0:dram_interleaved),180.53,4,Compute,,,,,
2.34,PermuteDeviceOperation (in0:dram_interleaved),131.14,2,TM,,,,,
1.54,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),86.28,10,TM,,,,,
1.28,TilizeDeviceOperation (in0:dram_interleaved),71.95,6,TM,,,,,
1.27,AccumulationDeviceOperation (in0:dram_interleaved),71.13,1,Compute,,,,,
1.20,PadDeviceOperation (in0:dram_interleaved),67.41,6,TM,,,,,
0.90,SliceDeviceOperation (in0:dram_interleaved),50.61,18,TM,,,,,
0.82,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),46.21,5,TM,,,,,
0.77,TransposeDeviceOperation (in0:dram_interleaved),43.05,7,TM,,,,,
0.68,TypecastDeviceOperation (in0:dram_interleaved),37.92,7,TM,,,,,
0.64,UnaryDeviceOperation (in0:dram_interleaved),35.93,9,Compute,,,,,
0.39,FillPadDeviceOperation (in0:dram_interleaved),21.82,3,TM,,,,,
0.35,CopyDeviceOperation (in0:dram_interleaved),19.82,2,DM,,,,,
0.33,ConcatDeviceOperation (in0:dram_interleaved),18.29,3,TM,,,,,
0.15,ReduceDeviceOperation (in0:dram_interleaved),8.40,1,Compute,,,,,
0.15,UntilizeDeviceOperation (in0:dram_interleaved),8.26,2,TM,,,,,
