Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
65.59,MatmulDeviceOperation (in0:dram_interleaved),3846.17,23,Compute,5.48,17.10,8.01,3.39,7.66
9.12,ReshapeViewDeviceOperation (in0:dram_interleaved),534.66,11,TM,,,,,
7.65,BinaryNgDeviceOperation (in0:dram_interleaved),448.38,43,Compute,,,,,
3.08,LayerNormDeviceOperation (in0:dram_interleaved),180.61,4,Compute,,,,,
2.98,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),174.92,16,TM,,,,,
2.21,PermuteDeviceOperation (in0:dram_interleaved),129.35,2,TM,,,,,
1.68,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),98.54,7,TM,,,,,
1.25,AccumulationDeviceOperation (in0:dram_interleaved),73.49,1,Compute,,,,,
1.16,PadDeviceOperation (in0:dram_interleaved),68.26,6,TM,,,,,
1.07,TilizeDeviceOperation (in0:dram_interleaved),62.63,4,TM,,,,,
0.95,TransposeDeviceOperation (in0:dram_interleaved),55.98,7,TM,,,,,
0.84,SliceDeviceOperation (in0:dram_interleaved),49.31,18,TM,,,,,
0.64,TypecastDeviceOperation (in0:dram_interleaved),37.68,7,TM,,,,,
0.60,UnaryDeviceOperation (in0:dram_interleaved),35.29,9,Compute,,,,,
0.37,FillPadDeviceOperation (in0:dram_interleaved),21.78,3,TM,,,,,
0.34,ConcatDeviceOperation (in0:dram_interleaved),19.72,3,TM,,,,,
0.32,CopyDeviceOperation (in0:dram_interleaved),18.65,2,DM,,,,,
0.14,ReduceDeviceOperation (in0:dram_interleaved),8.19,1,Compute,,,,,
