Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
81.32,MatmulDeviceOperation (in0:dram_interleaved),2134.67,8,Compute,2.05,8.09,6.27,1.96,6.41
6.88,LayerNormDeviceOperation (in0:dram_interleaved),180.70,4,Compute,,,,,
4.24,BinaryNgDeviceOperation (in0:dram_interleaved),111.35,18,Compute,,,,,
2.19,ReshapeViewDeviceOperation (in0:dram_interleaved),57.57,8,TM,,,,,
1.17,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),30.62,4,TM,,,,,
0.76,CopyDeviceOperation (in0:dram_interleaved),19.90,2,DM,,,,,
0.72,PermuteDeviceOperation (in0:dram_interleaved),18.83,2,TM,,,,,
0.64,SliceDeviceOperation (in0:dram_interleaved),16.85,8,TM,,,,,
0.58,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),15.14,5,TM,,,,,
0.55,UnaryDeviceOperation (in0:dram_interleaved),14.36,4,Compute,,,,,
0.42,FillPadDeviceOperation (in0:dram_interleaved),10.91,2,TM,,,,,
0.30,ReduceDeviceOperation (in0:dram_interleaved),8.01,2,Compute,,,,,
0.17,ConcatDeviceOperation (in0:dram_interleaved),4.37,3,TM,,,,,
0.07,TypecastDeviceOperation (in0:dram_interleaved),1.81,1,TM,,,,,
