Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
68.02,MatmulDeviceOperation (in0:dram_interleaved),3741.01,23,Compute,5.75,17.13,8.11,3.45,7.87
8.12,BinaryNgDeviceOperation (in0:dram_interleaved),446.38,43,Compute,,,,,
7.52,ReshapeViewDeviceOperation (in0:dram_interleaved),413.70,7,TM,,,,,
3.28,LayerNormDeviceOperation (in0:dram_interleaved),180.55,4,Compute,,,,,
2.42,PermuteDeviceOperation (in0:dram_interleaved),133.01,2,TM,,,,,
1.55,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),85.47,10,TM,,,,,
1.31,TilizeDeviceOperation (in0:dram_interleaved),71.87,6,TM,,,,,
1.28,AccumulationDeviceOperation (in0:dram_interleaved),70.14,1,Compute,,,,,
1.23,PadDeviceOperation (in0:dram_interleaved),67.48,6,TM,,,,,
0.92,SliceDeviceOperation (in0:dram_interleaved),50.64,18,TM,,,,,
0.85,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),46.62,5,TM,,,,,
0.81,TransposeDeviceOperation (in0:dram_interleaved),44.45,7,TM,,,,,
0.66,TypecastDeviceOperation (in0:dram_interleaved),36.44,7,TM,,,,,
0.66,UnaryDeviceOperation (in0:dram_interleaved),36.05,9,Compute,,,,,
0.40,FillPadDeviceOperation (in0:dram_interleaved),21.84,3,TM,,,,,
0.36,CopyDeviceOperation (in0:dram_interleaved),19.74,2,DM,,,,,
0.34,ConcatDeviceOperation (in0:dram_interleaved),18.57,3,TM,,,,,
0.15,UntilizeDeviceOperation (in0:dram_interleaved),8.29,2,TM,,,,,
0.15,ReduceDeviceOperation (in0:dram_interleaved),8.01,1,Compute,,,,,
