Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
74.95,MatmulDeviceOperation (in0:dram_interleaved),2235.81,8,Compute,2.03,7.57,6.05,1.87,6.12
7.82,Conv2dDeviceOperation (in0:height_sharded),233.27,4,Compute,43.71,43.75,43.74,0.02,43.74
6.05,LayerNormDeviceOperation (in0:dram_interleaved),180.41,4,Compute,,,,,
3.61,BinaryNgDeviceOperation (in0:dram_interleaved),107.68,17,Compute,,,,,
1.96,ReshapeViewDeviceOperation (in0:dram_interleaved),58.35,8,TM,,,,,
1.03,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),30.73,4,TM,,,,,
0.78,SliceDeviceOperation (in0:dram_interleaved),23.19,12,TM,,,,,
0.72,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),21.57,6,TM,,,,,
0.69,PermuteDeviceOperation (in0:dram_interleaved),20.51,2,TM,,,,,
0.68,CopyDeviceOperation (in0:dram_interleaved),20.20,2,DM,,,,,
0.49,UnaryDeviceOperation (in0:dram_interleaved),14.65,4,Compute,,,,,
0.38,ShardedToInterleavedDeviceOperation (in0:height_sharded),11.28,4,DM,,,,,
0.29,ConcatDeviceOperation (in0:dram_interleaved),8.63,4,TM,,,,,
0.16,FillPadDeviceOperation (in0:dram_interleaved),4.92,1,TM,,,,,
0.11,ReduceDeviceOperation (in0:dram_interleaved),3.41,1,Compute,,,,,
0.10,InterleavedToShardedDeviceOperation (in0:dram_interleaved),2.98,4,DM,,,,,
0.07,HaloDeviceOperation (in0:height_sharded),2.16,4,DM,,,,,
0.06,TypecastDeviceOperation (in0:dram_interleaved),1.91,1,TM,,,,,
0.05,MoveDeviceOperation (in0:height_sharded),1.45,4,DM,,,,,
