ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
3,1.169193453569802,,LayerNormDeviceOperation,3,85.263,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,186371.0
4,6.077685961519448,DRAM,MatmulDeviceOperation 32 x 5120 x 16512,3,442.679,0.534,104.0,385.08112650475846,133.70872448081892,12.22251825815094,5.717394195600752,HiFi2 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,5,187395.0
5,0.05534481285678103,,SliceDeviceOperation,3,3.471,0.565,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,188419.0
6,0.04497794503722543,,SliceDeviceOperation,3,2.713,0.567,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,189443.0
7,0.02484757207544282,,SliceDeviceOperation,3,1.045,0.767,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,190467.0
8,0.04290731403093852,,UnaryDeviceOperation,3,2.649,0.48,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,191491.0
9,0.031128029034909056,,SliceDeviceOperation,3,1.646,0.624,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,192515.0
10,0.03529671662372507,,TypecastDeviceOperation,3,1.924,0.65,2,,,,,BF16 => FP32,FLOAT32,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,193539.0
11,0.46986868496967354,,UntilizeWithUnpaddingDeviceOperation,3,3.441,30.824,107,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,194563.0
12,0.7527086527555917,,UntilizeWithUnpaddingDeviceOperation,3,11.136,43.755,107,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,195587.0
13,0.07905422351817212,,ConcatDeviceOperation,3,5.108,0.657,36,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,196611.0
14,0.75913995038439,,TilizeWithValPaddingDeviceOperation,3,20.727,34.633,107,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,197635.0
15,0.05620871850841067,,SliceDeviceOperation,3,3.59,0.509,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,198659.0
16,0.5648434554964489,,UntilizeWithUnpaddingDeviceOperation,3,12.521,28.67,107,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,199683.0
17,0.0875287265770152,,SliceDeviceOperation,3,5.777,0.606,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,200707.0
18,0.6617105907839368,,TilizeDeviceOperation,3,15.599,32.656,107,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,201731.0
19,0.05527624891617551,,SliceDeviceOperation,3,3.513,0.518,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,202755.0
20,0.08932510182087999,,BinaryNgDeviceOperation,3,5.976,0.538,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,203779.0
21,0.6300477630123046,,UntilizeWithUnpaddingDeviceOperation,3,12.579,33.367,107,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,204803.0
