candidate,workload,device_us,ops,correctness,result,evidence
functional,linear_prefill,6046.000,177,functional_handoff,baseline,../../functional_decoder/perf/summary.csv
final_dedicated_qkv_tile_tails,linear_prefill,5605.562,159,PCC_0.998477649_native_pass,selected,raw_linear_prefill/reports/ops_perf_results.csv;../correctness/final/pytest.log
packed_mlp,linear_prefill,5638.167,162,PCC_0.998477649,rejected_slower,../candidates/packed_mlp/manifest.txt
functional,linear_traced_decode,2901.000,88,functional_handoff,baseline,../../functional_decoder/perf/summary.csv
final_dedicated_qkv_tile_tails,linear_traced_decode,2728.252,71,PCC_0.999649418_native_pass,selected,raw_linear_decode/reports/ops_perf_results.csv;../correctness/final/pytest.log
packed_mlp,linear_traced_decode,2745.046,74,PCC_0.999649418,rejected_slower,../candidates/packed_mlp/manifest.txt
functional,full_prefill,2594.000,51,functional_handoff,baseline,../../functional_decoder/perf/summary.csv
final_dedicated_qkv_heads,full_prefill,2362.104,29,PCC_0.998800717,selected,raw_full_prefill/reports/ops_perf_results.csv;../correctness/final/pytest.log
packed_mlp,full_prefill,2371.560,30,PCC_0.998800717,rejected_slower,../candidates/packed_mlp/manifest.txt
concat_heads_prefill,full_prefill,2366.470,28,PCC_0.998800717,rejected_9.692_us_slower_than_control,../candidates/concat_heads_prefill/manifest.txt
functional,full_traced_decode,2639.000,50,functional_handoff,baseline,../../functional_decoder/perf/summary.csv
final_dedicated_qkv_heads,full_traced_decode,2334.152,45,PCC_0.997618106,selected,raw_full_decode/reports/ops_perf_results.csv;../correctness/final/pytest.log
packed_mlp,full_traced_decode,2350.690,46,PCC_0.997618106,rejected_slower,../candidates/packed_mlp/manifest.txt
decode_rope_lane_axis,full_traced_decode,2346.213,39,PCC_0.997824526,rejected_6.533_us_slower_than_control,../candidates/decode_rope_lane_axis/manifest.txt
sharded_sdpa_concat,full_traced_decode,,,fatal_Sharded_output_not_supported_for_GQA,rejected_contract_failure,../candidates/sharded_sdpa_concat_decode/manifest.txt
core_rmsnorm_default,linear_both,,,short_PCC_pass_native_prefill_decode_nonfinite,rejected_correctness,../candidates/core_rmsnorm_default/manifest.txt
core_rmsnorm_fp32,linear_both,,,short_PCC_pass_native_prefill_decode_nonfinite,rejected_correctness,../candidates/core_rmsnorm_fp32/manifest.txt
