Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
82.75,MatmulDeviceOperation (in0:dram_interleaved),1931.46,5,Compute,5.47,7.65,6.54,1.05,6.38
7.30,LayerNormDeviceOperation (in0:dram_interleaved),170.49,2,Compute,,,,,
2.61,ReshapeViewDeviceOperation (in0:dram_interleaved),60.81,1,TM,,,,,
1.50,SdpaDecodeDeviceOperation (in0:height_sharded),35.11,1,Compute,,,,,
1.34,BinaryNgDeviceOperation (in0:dram_interleaved),31.20,6,Compute,,,,,
1.14,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),26.59,2,DM,,,,,
0.70,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),16.36,1,Other,,,,,
0.60,LayerNormDeviceOperation (in0:l1_interleaved),14.08,2,Compute,,,,,
0.47,SliceDeviceOperation (in0:l1_interleaved),11.00,8,TM,,,,,
0.39,BinaryNgDeviceOperation (in0:l1_interleaved),9.19,4,Compute,,,,,
0.34,ConcatDeviceOperation (in0:l1_interleaved),7.97,4,TM,,,,,
0.26,SliceDeviceOperation (in0:dram_interleaved),6.11,2,TM,,,,,
0.18,InterleavedToShardedDeviceOperation (in0:dram_interleaved),4.19,2,DM,,,,,
0.16,ShardedToInterleavedDeviceOperation (in0:height_sharded),3.80,2,DM,,,,,
0.13,UnaryDeviceOperation (in0:l1_interleaved),3.12,2,Compute,,,,,
0.11,CopyDeviceOperation (in0:dram_interleaved),2.68,1,DM,,,,,
