ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
228,0.4150788610299312,,LayerNormDeviceOperation,0,103.936,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,131072.0
229,0.8092552170699584,DRAM,MatmulDeviceOperation 32 x 5120 x 8192,0,202.119,0.519,86.0,419.24830421682276,81.88443441734819,13.281059969621856,11.171218885946463,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,132096.0
230,0.5957852898201805,DRAM,MatmulDeviceOperation 32 x 5120 x 6144,0,148.66,0.525,96.0,428.06037938921025,83.60554284945513,13.54275474236513,10.204742614267705,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,133120.0
231,0.13062667858516797,,NLPCreateQKVHeadsDecodeDeviceOperation,0,32.181,0.528,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,134144.0
232,0.011022337365711688,,ShardedToInterleavedDeviceOperation,0,2.236,0.524,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,135168.0
233,0.012807476786897603,,ShardedToInterleavedDeviceOperation,0,2.61,0.597,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,136192.0
234,0.011425691015688818,,ShardedToInterleavedDeviceOperation,0,2.303,0.558,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,137216.0
235,0.029552643661690758,,LayerNormDeviceOperation,0,6.853,0.547,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,138240.0
236,0.03148953990167995,,LayerNormDeviceOperation,0,7.337,0.548,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,139264.0
237,0.010650932519693141,,SliceDeviceOperation,0,2.097,0.57,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,140288.0
