Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
58.97,MatmulDeviceOperation (in0:dram_interleaved),14443.84,40,Compute,8.72,12.10,10.74,1.18,10.15
28.20,SdpaDecodeDeviceOperation (in0:dram_interleaved),6908.59,8,Compute,,,,,
7.24,LayerNormDeviceOperation (in0:dram_interleaved),1774.12,32,Compute,,,,,
1.23,BinaryNgDeviceOperation (in0:dram_interleaved),300.88,80,Compute,,,,,
1.05,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),257.27,8,Other,,,,,
0.95,SliceDeviceOperation (in0:dram_interleaved),232.76,80,TM,,,,,
0.79,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),193.60,16,DM,,,,,
0.47,UnaryDeviceOperation (in0:dram_interleaved),114.02,32,Compute,,,,,
0.32,ConcatDeviceOperation (in0:dram_interleaved),77.52,32,TM,,,,,
0.30,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),73.38,8,TM,,,,,
0.23,ShardedToInterleavedDeviceOperation (in0:height_sharded),56.60,24,DM,,,,,
0.19,InterleavedToShardedDeviceOperation (in0:dram_interleaved),46.87,24,DM,,,,,
0.06,ShardedToInterleavedDeviceOperation (in0:width_sharded),15.08,8,DM,,,,,
