Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
79.82,MatmulDeviceOperation (in0:dram_interleaved),14520.31,40,Compute,8.70,12.06,10.67,1.13,10.10
9.63,LayerNormDeviceOperation (in0:dram_interleaved),1751.83,32,Compute,,,,,
4.57,SdpaDecodeDeviceOperation (in0:dram_interleaved),831.15,8,Compute,,,,,
1.68,BinaryNgDeviceOperation (in0:dram_interleaved),305.15,80,Compute,,,,,
1.36,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),247.81,8,Other,,,,,
0.99,SliceDeviceOperation (in0:dram_interleaved),180.42,80,TM,,,,,
0.65,UnaryDeviceOperation (in0:dram_interleaved),119.03,32,Compute,,,,,
0.52,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),95.36,16,DM,,,,,
0.30,ConcatDeviceOperation (in0:dram_interleaved),53.84,32,TM,,,,,
0.13,SliceDeviceOperation (in0:width_sharded),23.82,8,TM,,,,,
0.09,InterleavedToShardedDeviceOperation (in0:dram_interleaved),16.80,24,DM,,,,,
0.09,ShardedToInterleavedDeviceOperation (in0:height_sharded),16.05,24,DM,,,,,
0.08,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),14.80,8,TM,,,,,
0.08,ShardedToInterleavedDeviceOperation (in0:width_sharded),14.44,8,DM,,,,,
