Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
72.44,MatmulDeviceOperation (in0:dram_interleaved),13465.33,5,Compute,68.48,79.36,72.14,4.32,74.79
6.88,SDPAOperation (in0:dram_interleaved),1278.55,1,Compute,,,,,
5.71,BinaryNgDeviceOperation (in0:dram_interleaved),1062.01,10,Compute,,,,,
5.11,SliceDeviceOperation (in0:dram_interleaved),950.52,10,TM,,,,,
4.02,UnaryDeviceOperation (in0:dram_interleaved),747.20,4,Compute,,,,,
2.89,LayerNormDeviceOperation (in0:dram_interleaved),536.36,4,Compute,,,,,
1.03,ConcatDeviceOperation (in0:dram_interleaved),191.56,4,TM,,,,,
0.85,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),157.98,1,TM,,,,,
0.61,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),113.21,1,TM,,,,,
0.23,TypecastDeviceOperation (in0:dram_interleaved),43.46,2,TM,,,,,
0.22,PagedFillCacheDeviceOperation (in0:dram_interleaved),41.74,2,Other,,,,,
