Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
71.89,MatmulDeviceOperation (in0:dram_interleaved),210560.10,80,Compute,2.93,12.80,10.08,2.78,9.49
12.32,BinaryNgDeviceOperation (in0:dram_interleaved),36092.21,192,Compute,,,,,
4.53,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),13264.14,56,TM,,,,,
2.72,ReshapeViewDeviceOperation (in0:dram_interleaved),7963.19,96,TM,,,,,
1.93,CopyDeviceOperation (in0:dram_interleaved),5646.18,16,DM,,,,,
1.86,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),5457.10,64,TM,,,,,
1.40,SliceDeviceOperation (in0:dram_interleaved),4103.44,80,TM,,,,,
1.05,UnaryDeviceOperation (in0:dram_interleaved),3089.89,64,Compute,,,,,
0.74,FillPadDeviceOperation (in0:dram_interleaved),2167.80,16,TM,,,,,
0.58,LayerNormDeviceOperation (in0:dram_interleaved),1711.49,24,Compute,,,,,
0.46,ReduceDeviceOperation (in0:dram_interleaved),1338.81,16,Compute,,,,,
0.37,TransposeDeviceOperation (in0:dram_interleaved),1098.07,8,TM,,,,,
0.12,ConcatDeviceOperation (in0:dram_interleaved),353.71,24,TM,,,,,
0.02,TypecastDeviceOperation (in0:dram_interleaved),44.96,8,TM,,,,,
