ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
1116,0.3821500514403765,,LayerNormDeviceOperation,0,103.913,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,952320.0
1117,0.9624489848455455,DRAM,MatmulDeviceOperation 32 x 5120 x 10240,0,261.179,0.527,107.0,407.75100601503186,79.63886836231092,12.84729323567362,8.685486189312924,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,953344.0
1118,0.5507715137077801,DRAM,MatmulDeviceOperation 32 x 5120 x 6144,0,149.245,0.519,96.0,426.3824985761667,83.27783175315756,13.48967080974237,10.164742785601105,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,954368.0
1119,0.22505417558866828,SLOW,MatmulDeviceOperation 32 x 5120 x 64,0,60.566,0.63,2.0,27.186738434104942,5.309909850411121,0.34625895717068983,12.523833809703769,HiFi4 BF16 x FP32 => FP32,FLOAT32,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,2,1,1,955392.0
1120,0.2269591704078546,SLOW,MatmulDeviceOperation 32 x 5120 x 64,0,60.303,1.411,2.0,27.305308193622206,5.333068006566837,0.34776909938145695,12.578454115359412,HiFi4 BF16 x FP32 => FP32,FLOAT32,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,2,1,1,956416.0
1121,0.013706400948084296,,UnaryDeviceOperation,0,3.193,0.534,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,957440.0
1122,0.011959542764467434,,BinaryNgDeviceOperation,0,2.716,0.536,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,958464.0
1123,0.018568183092803222,,UnaryDeviceOperation,0,4.517,0.532,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,959488.0
1124,0.012022061899460038,,BinaryNgDeviceOperation,0,2.745,0.524,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,960512.0
1125,0.02141096493687866,,UntilizeWithUnpaddingDeviceOperation,0,5.306,0.516,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,961536.0
1126,0.012220652092965955,,SliceDeviceOperation,0,2.656,0.667,3,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,962560.0
1127,0.05019551020670848,,TilizeWithValPaddingDeviceOperation,0,13.126,0.523,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,963584.0
1128,0.08589761388366109,,UntilizeWithUnpaddingDeviceOperation,0,5.074,18.283,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,964608.0
