Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
73.95,MatmulDeviceOperation (in0:dram_interleaved),17949.77,80,Compute,2.87,12.66,9.96,2.74,9.76
7.01,LayerNormDeviceOperation (in0:dram_interleaved),1701.03,24,Compute,,,,,
6.73,BinaryNgDeviceOperation (in0:dram_interleaved),1633.52,192,Compute,,,,,
3.86,ReshapeViewDeviceOperation (in0:dram_interleaved),937.52,88,TM,,,,,
2.56,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),621.57,56,TM,,,,,
1.48,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),358.45,64,TM,,,,,
1.22,SliceDeviceOperation (in0:dram_interleaved),295.07,80,TM,,,,,
1.10,UnaryDeviceOperation (in0:dram_interleaved),267.13,64,Compute,,,,,
0.77,CopyDeviceOperation (in0:dram_interleaved),186.51,16,DM,,,,,
0.45,FillPadDeviceOperation (in0:dram_interleaved),110.34,16,TM,,,,,
0.42,ReduceDeviceOperation (in0:dram_interleaved),102.23,16,Compute,,,,,
0.22,ConcatDeviceOperation (in0:dram_interleaved),54.11,24,TM,,,,,
0.16,TransposeDeviceOperation (in0:dram_interleaved),39.19,8,TM,,,,,
0.07,TypecastDeviceOperation (in0:dram_interleaved),17.22,8,TM,,,,,
