ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
836,0.12038551207379537,,LayerNormDeviceOperation,0,191.624,,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,854016.0
837,1.4079144188828294,SLOW,MatmulDeviceOperation 2048 x 5120 x 10240,0,2240.579,0.473,110.0,93.59866355973165,18.280988976510088,95.84503148516521,63.02940307052636,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,855040.0
838,0.7788507387766821,FLOP,MatmulDeviceOperation 2048 x 5120 x 6144,0,1239.194,0.544,110.0,88.00228535644943,17.18794635868153,103.97808485192793,68.3778440998053,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,856064.0
839,0.08650525552645416,SLOW,MatmulDeviceOperation 2048 x 5120 x 64,0,137.161,0.534,64.0,166.2756031233368,32.47570373502672,9.78541480449982,11.060265214142772,HiFi4 BF16 x FP32 => FP32,FLOAT32,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,2,1,2,857088.0
840,0.08930845426394675,SLOW,MatmulDeviceOperation 2048 x 5120 x 64,0,141.627,0.53,64.0,161.03234552733588,31.451629985807788,9.476846081608732,10.711495950892393,HiFi4 BF16 x FP32 => FP32,FLOAT32,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,2,1,2,858112.0
841,0.0034220133400094115,,UnaryDeviceOperation,0,4.914,0.533,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,859136.0
842,0.018210739982899356,,BinaryNgDeviceOperation,0,28.444,0.543,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,860160.0
843,0.004987582872468279,,UnaryDeviceOperation,0,7.456,0.483,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,861184.0
844,0.01818686693224389,,BinaryNgDeviceOperation,0,28.413,0.536,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,862208.0
845,0.0034615923450434832,,UntilizeWithUnpaddingDeviceOperation,0,5.031,0.479,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,863232.0
846,0.25742059226525726,,UntilizeWithUnpaddingDeviceOperation,0,409.264,0.486,80,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,864256.0
847,0.2981681203050976,,ConcatDeviceOperation,0,474.033,0.577,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,865280.0
848,0.3323072109805981,,TilizeWithValPaddingDeviceOperation,0,528.371,0.58,100,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,866304.0
849,0.2537334624153371,,SliceDeviceOperation,0,403.285,0.596,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,867328.0
850,1.3044228595768315,,BinaryNgDeviceOperation,0,2075.741,0.578,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,868352.0
851,0.26935020697306683,,UntilizeWithUnpaddingDeviceOperation,0,428.203,0.536,100,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,869376.0
852,0.31138059736655127,,SliceDeviceOperation,0,495.091,0.55,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,870400.0
853,0.3513277499712581,,TilizeDeviceOperation,0,558.639,0.588,80,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,871424.0
