Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
61.88,MatmulDeviceOperation (in0:dram_interleaved),93419.41,180,Compute,4.55,79.25,7.36,10.78,15.32
13.95,BinaryNgDeviceOperation (in0:dram_interleaved),21062.77,195,Compute,,,,,
8.12,ReshapeViewDeviceOperation (in0:dram_interleaved),12265.64,5,TM,,,,,
3.84,SliceDeviceOperation (in0:dram_interleaved),5796.36,278,TM,,,,,
3.28,TransposeDeviceOperation (in0:dram_interleaved),4944.69,76,TM,,,,,
2.10,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),3170.87,14,TM,,,,,
1.86,ConcatDeviceOperation (in0:dram_interleaved),2804.41,12,TM,,,,,
1.47,TilizeDeviceOperation (in0:dram_interleaved),2224.04,5,TM,,,,,
1.21,UnaryDeviceOperation (in0:dram_interleaved),1831.82,12,Compute,,,,,
0.90,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),1363.31,9,TM,,,,,
0.40,LayerNormDeviceOperation (in0:dram_interleaved),604.93,3,Compute,,,,,
0.32,PermuteDeviceOperation (in0:dram_interleaved),488.56,4,TM,,,,,
0.23,ReduceDeviceOperation (in0:dram_interleaved),350.62,2,Compute,,,,,
0.23,UntilizeDeviceOperation (in0:dram_interleaved),343.01,4,TM,,,,,
0.15,TypecastDeviceOperation (in0:dram_interleaved),221.91,1,TM,,,,,
0.05,AccumulationDeviceOperation (in0:dram_interleaved),73.69,1,Compute,,,,,
