ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
212,0.005456962142325139,,InterleavedToShardedDeviceOperation,0,1.284,,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,114688.0
213,0.05423812372301668,,LayerNormDeviceOperation,0,7.029,5.733,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,115712.0
214,0.013361907301768096,,ShardedToInterleavedDeviceOperation,0,1.973,1.171,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,116736.0
215,0.8710782068949396,DRAM,MatmulDeviceOperation 32 x 5120 x 8192,0,202.535,2.426,86.0,418.3871824622904,81.7162465746661,13.253781124250128,11.148273582386318,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,117760.0
216,0.6353790920575489,DRAM,MatmulDeviceOperation 32 x 5120 x 6144,0,148.959,0.543,96.0,427.2011493095415,83.43772447451983,13.515570861780756,10.184259004404144,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,118784.0
217,0.13923753403960762,,NLPCreateQKVHeadsDecodeDeviceOperation,0,32.215,0.547,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,119808.0
218,0.012052916382892595,,ShardedToInterleavedDeviceOperation,0,2.296,0.54,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,120832.0
219,0.012775411370583616,,ShardedToInterleavedDeviceOperation,0,2.384,0.622,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,121856.0
220,0.032180776745861325,,LayerNormDeviceOperation,0,6.99,0.582,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,122880.0
221,0.03316251993501795,,LayerNormDeviceOperation,0,7.234,0.569,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,123904.0
222,0.011215672191274177,,SliceDeviceOperation,0,2.081,0.558,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,124928.0
223,0.009468934309268229,,SliceDeviceOperation,0,1.647,0.581,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,125952.0
224,0.009613433306806436,,SliceDeviceOperation,0,1.676,0.586,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,126976.0
225,0.010238178972633377,,UnaryDeviceOperation,0,1.936,0.473,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,128000.0
226,0.009681432835059707,,ConcatDeviceOperation,0,1.77,0.508,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,129024.0
227,0.015180894682543142,,BinaryNgDeviceOperation,0,3.116,0.456,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,130048.0
228,0.014530649193621221,,BinaryNgDeviceOperation,0,2.957,0.462,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,131072.0
229,0.01237591414209564,,BinaryNgDeviceOperation,0,2.439,0.473,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,132096.0
230,0.016370886426975415,,SliceDeviceOperation,0,3.381,0.471,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,133120.0
231,0.015716390967537665,,ConcatDeviceOperation,0,3.187,0.511,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,134144.0
232,0.01277541137058362,,SliceDeviceOperation,0,2.019,0.987,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,135168.0
233,0.017973125311443156,,SliceDeviceOperation,0,1.247,2.982,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,136192.0
234,0.020489107856814244,,SliceDeviceOperation,0,1.116,3.705,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,137216.0
235,0.02300509040218534,,UnaryDeviceOperation,0,1.25,4.163,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,138240.0
