Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
62.13,MatmulDeviceOperation (in0:dram_interleaved),14465.44,40,Compute,8.70,12.04,10.74,1.19,10.13
29.66,SdpaDecodeDeviceOperation (in0:dram_interleaved),6904.89,8,Compute,,,,,
1.83,RotateHalfDeviceOperation (in0:dram_interleaved),427.14,16,Other,,,,,
1.46,BinaryNgDeviceOperation (in0:dram_interleaved),340.82,80,Compute,,,,,
1.10,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),256.89,8,Other,,,,,
0.83,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),193.16,16,DM,,,,,
0.82,SliceDeviceOperation (in0:dram_interleaved),191.49,48,TM,,,,,
0.51,LayerNormDeviceOperation (in0:width_sharded),119.50,16,Compute,,,,,
0.48,LayerNormDeviceOperation (in0:dram_interleaved),111.96,16,Compute,,,,,
0.32,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),74.27,8,TM,,,,,
0.24,ConcatDeviceOperation (in0:dram_interleaved),55.83,16,TM,,,,,
0.24,InterleavedToShardedDeviceOperation (in0:dram_interleaved),55.31,32,DM,,,,,
0.20,ShardedToInterleavedDeviceOperation (in0:width_sharded),46.95,24,DM,,,,,
0.16,ShardedToInterleavedDeviceOperation (in0:height_sharded),37.48,16,DM,,,,,
