Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
87.52,MatmulDeviceOperation (in0:dram_interleaved),14497.36,40,Compute,8.71,12.05,10.71,1.17,10.11
5.07,SdpaDecodeDeviceOperation (in0:dram_interleaved),839.24,8,Compute,,,,,
2.04,BinaryNgDeviceOperation (in0:dram_interleaved),338.19,80,Compute,,,,,
1.50,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),248.29,8,Other,,,,,
0.94,SliceDeviceOperation (in0:dram_interleaved),156.24,48,TM,,,,,
0.72,LayerNormDeviceOperation (in0:width_sharded),119.29,16,Compute,,,,,
0.58,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),96.29,16,DM,,,,,
0.55,LayerNormDeviceOperation (in0:dram_interleaved),90.64,16,Compute,,,,,
0.28,ShardedToInterleavedDeviceOperation (in0:width_sharded),45.99,24,DM,,,,,
0.21,InterleavedToShardedDeviceOperation (in0:dram_interleaved),35.26,32,DM,,,,,
0.16,ConcatDeviceOperation (in0:dram_interleaved),26.62,16,TM,,,,,
0.14,SliceDeviceOperation (in0:width_sharded),23.50,8,TM,,,,,
0.14,RotateHalfDeviceOperation (in0:dram_interleaved),22.86,16,Other,,,,,
0.09,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),14.86,8,TM,,,,,
0.07,ShardedToInterleavedDeviceOperation (in0:height_sharded),10.88,16,DM,,,,,
