Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
75.76,MatmulDeviceOperation (in0:dram_interleaved),13469.92,5,Compute,68.41,79.31,72.12,4.31,74.77
7.20,SDPAOperation (in0:dram_interleaved),1280.43,1,Compute,,,,,
5.71,BinaryNgDeviceOperation (in0:dram_interleaved),1015.09,4,Compute,,,,,
5.06,SliceDeviceOperation (in0:dram_interleaved),900.30,6,TM,,,,,
3.02,LayerNormDeviceOperation (in0:dram_interleaved),536.70,4,Compute,,,,,
0.90,ConcatDeviceOperation (in0:dram_interleaved),159.24,2,TM,,,,,
0.87,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),155.09,1,TM,,,,,
0.64,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),113.09,1,TM,,,,,
0.60,RotaryEmbeddingHfDeviceOperation (in0:dram_interleaved),106.82,2,Other,,,,,
0.24,PagedFillCacheDeviceOperation (in0:dram_interleaved),41.90,2,Other,,,,,
