Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
54.90,MatmulDeviceOperation (in0:dram_interleaved),25269.35,88,Compute,6.68,55.89,18.16,16.73,9.89
15.68,ReshapeViewDeviceOperation (in0:dram_interleaved),7217.14,72,TM,,,,,
13.90,BinaryNgDeviceOperation (in0:dram_interleaved),6399.83,160,Compute,,,,,
12.24,TernaryDeviceOperation (in0:dram_interleaved),5636.39,8,TM,,,,,
0.74,UnaryDeviceOperation (in0:dram_interleaved),339.56,16,Compute,,,,,
0.49,CopyDeviceOperation (in0:dram_interleaved),227.00,32,DM,,,,,
0.42,SliceDeviceOperation (in0:dram_interleaved),193.94,56,TM,,,,,
0.30,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),137.88,16,TM,,,,,
0.29,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),135.14,16,TM,,,,,
0.28,LayerNormDeviceOperation (in0:dram_interleaved),129.19,16,Compute,,,,,
0.26,ConcatDeviceOperation (in0:dram_interleaved),120.59,16,TM,,,,,
0.26,LayerNormDeviceOperation (in0:width_sharded),119.04,16,Compute,,,,,
0.11,TypecastDeviceOperation (in0:dram_interleaved),52.45,16,TM,,,,,
0.07,ShardedToInterleavedDeviceOperation (in0:width_sharded),30.61,16,DM,,,,,
0.05,InterleavedToShardedDeviceOperation (in0:dram_interleaved),23.97,16,DM,,,,,
