ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
328,0.006888824651178884,,InterleavedToShardedDeviceOperation,0,1.32,,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,200704.0
329,0.06588743274328289,,LayerNormDeviceOperation,0,6.993,5.632,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,201728.0
330,0.016173081510608606,,ShardedToInterleavedDeviceOperation,0,1.886,1.213,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,202752.0
331,1.382362698809783,DRAM,MatmulDeviceOperation 32 x 5120 x 10240,0,261.477,3.404,107.0,407.2863005159153,79.5481055695147,12.832651437793762,8.675587517978865,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,203776.0
332,0.781208371863347,DRAM,MatmulDeviceOperation 32 x 5120 x 6144,0,149.17,0.521,96.0,426.59687604746256,83.31970235302003,13.496453174230743,10.169853435925702,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,204800.0
333,0.08157516524437662,SLOW,MatmulDeviceOperation 32 x 5120 x 128,0,15.005,0.626,4.0,197.63438853715428,38.60046651116294,2.7952709096967676,50.55105088427314,HiFi4 BF16 x FP32 => FP32,FLOAT32,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,40,1,1,205824.0
334,0.011408311126876545,,SliceDeviceOperation,0,1.566,0.62,2,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,206848.0
335,0.012170256883749361,,SliceDeviceOperation,0,1.537,0.795,2,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,207872.0
336,0.02612534560894052,,UnaryDeviceOperation,0,4.483,0.523,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,208896.0
337,0.016679305746339176,,BinaryNgDeviceOperation,0,2.671,0.525,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,209920.0
338,0.05754256106355937,,BinaryNgDeviceOperation,0,10.513,0.513,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,210944.0
339,0.0560552011956912,,BinaryNgDeviceOperation,0,10.249,0.492,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,211968.0
340,0.05969270936377582,,BinaryNgDeviceOperation,0,10.954,0.484,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,212992.0
341,0.0571250565392455,,BinaryNgDeviceOperation,0,10.445,0.501,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,214016.0
342,0.05631092271683345,,BinaryNgDeviceOperation,0,10.302,0.488,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,215040.0
343,0.05579426086799503,,BinaryNgDeviceOperation,0,10.197,0.494,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,216064.0
344,0.06493760995046884,,BinaryNgDeviceOperation,0,11.941,0.502,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,217088.0
345,0.040738003959926036,,CopyDeviceOperation,0,7.313,0.493,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,218112.0
346,0.04064406544195541,,CopyDeviceOperation,0,7.202,0.586,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,219136.0
347,0.04260111789967669,,CopyDeviceOperation,0,7.585,0.578,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,220160.0
348,0.012765200830896627,,SliceDeviceOperation,0,1.839,0.607,64,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,221184.0
349,0.013360144778043896,,SliceDeviceOperation,0,1.982,0.578,64,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,222208.0
350,0.027477016506406684,,SliceDeviceOperation,0,4.701,0.564,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,223232.0
351,0.05822622472212333,,ReshapeViewDeviceOperation,0,10.508,0.649,4,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,224256.0
352,0.044281573610040016,,UntilizeWithUnpaddingDeviceOperation,0,6.999,1.486,1,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,225280.0
353,0.012170256883749361,,ConcatDeviceOperation,0,1.763,0.569,48,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,226304.0
354,0.03719443430981205,,TilizeWithValPaddingDeviceOperation,0,6.46,0.667,2,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,227328.0
355,0.023134969453542417,,LayerNormDeviceOperation,0,3.896,0.537,2,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,228352.0
356,0.02523292968821962,,BinaryNgDeviceOperation,0,4.305,0.53,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,229376.0
357,0.04065972186161718,,ReshapeViewDeviceOperation,0,7.275,0.516,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,230400.0
358,0.059875367593163135,,ReshapeViewDeviceOperation,0,10.916,0.557,4,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,231424.0
359,0.04387450669883399,,UntilizeWithUnpaddingDeviceOperation,0,6.963,1.444,1,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,232448.0
360,0.012024130300239506,,ConcatDeviceOperation,0,1.738,0.566,48,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,233472.0
361,0.0367821485920521,,TilizeWithValPaddingDeviceOperation,0,6.415,0.633,2,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,234496.0
362,0.022994061676586484,,LayerNormDeviceOperation,0,3.868,0.538,2,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,235520.0
363,0.02477889351802829,,BinaryNgDeviceOperation,0,4.219,0.529,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,236544.0
364,0.040367468694597466,,ReshapeViewDeviceOperation,0,7.207,0.528,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,237568.0
365,0.11129626856897037,,ReshapeViewDeviceOperation,0,20.688,0.638,8,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,238592.0
366,0.038713107017003756,,ReshapeViewDeviceOperation,0,6.976,0.442,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,239616.0
367,0.02348984829920921,,ReshapeViewDeviceOperation,0,3.944,0.557,48,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,240640.0
368,0.024617110514856665,,ReshapeViewDeviceOperation,0,4.147,0.57,48,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,241664.0
369,0.10871295932477827,,BinaryNgDeviceOperation,0,20.316,0.515,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,242688.0
370,0.10092649994632456,SLOW,MatmulDeviceOperation b={48} x 32 x 128 x 128,0,18.714,0.625,24.0,252.14235331837128,49.24655338249439,2.68951843539596,8.106428540328293,HiFi4 FP32 x FP32 => FP32,FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,1,1,4,243712.0
371,0.04638475265127115,,BinaryNgDeviceOperation,0,8.413,0.475,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,244736.0
372,0.04592549767452589,,BinaryNgDeviceOperation,0,8.312,0.488,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,245760.0
373,0.10177194660806017,SLOW,MatmulDeviceOperation b={48} x 32 x 128 x 128,0,18.934,0.567,48.0,249.2126333579803,48.67434245273053,2.65826808915179,4.0061187203893445,HiFi4 FP32 x FP32 => FP32,FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,1,2,2,246784.0
374,0.11781455795482068,,BinaryNgDeviceOperation,0,22.025,0.55,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,247808.0
375,0.1016258200245503,SLOW,MatmulDeviceOperation b={48} x 32 x 128 x 128,0,18.909,0.564,24.0,249.5421227986673,48.738695859114706,2.6617826431857843,8.022830594092953,HiFi4 FP32 x FP32 => FP32,FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,1,1,4,248832.0
376,0.1081127965710771,,ReshapeViewDeviceOperation,0,20.132,0.584,8,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,249856.0
377,0.10391165729516877,,ReshapeViewDeviceOperation,0,19.37,0.541,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,250880.0
378,0.014591783124769817,,TypecastDeviceOperation,0,2.247,0.549,8,,,,,FP32 => BF16,BFLOAT16,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,251904.0
379,0.028943501148059155,,LayerNormDeviceOperation,0,5.01,0.536,2,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,252928.0
380,0.02379253907933676,,BinaryNgDeviceOperation,0,4.028,0.531,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,253952.0
381,0.029032220859475853,,ReshapeViewDeviceOperation,0,5.045,0.518,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,254976.0
382,0.8470123037017673,DRAM,MatmulDeviceOperation 32 x 6144 x 5120,0,161.77,0.53,80.0,393.36994498361867,76.83006737961303,12.445236570439512,11.25328827622207,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,256000.0
383,0.023286314843606194,,BinaryNgDeviceOperation,0,3.922,0.54,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,257024.0
384,0.011643157421803097,,InterleavedToShardedDeviceOperation,0,1.681,0.55,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,258048.0
385,0.043926694764373234,,LayerNormDeviceOperation,0,7.87,0.547,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,259072.0
386,0.016094799412299757,,ShardedToInterleavedDeviceOperation,0,1.873,1.211,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,260096.0
387,4.521803625807603,DRAM,MatmulDeviceOperation 32 x 5120 x 34816,0,865.861,0.583,109.0,414.69906139669064,80.99591042904115,13.17591031354917,8.744206534539831,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,261120.0
388,0.036395956907061766,,SliceDeviceOperation,0,6.486,0.488,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,262144.0
389,0.03817035113539572,,SliceDeviceOperation,0,6.748,0.566,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,263168.0
390,0.06397213073799299,,BinaryNgDeviceOperation,0,11.696,0.562,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,264192.0
391,2.343719054108012,DRAM,MatmulDeviceOperation 32 x 17408 x 5120,0,448.53,0.561,80.0,400.64145542104205,78.25028426192227,12.717663121753281,11.499623048460359,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,2,265216.0
392,0.02340112858779251,,BinaryNgDeviceOperation,0,3.95,0.534,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,266240.0
393,0.035284351111076084,,InterleavedToShardedDeviceOperation,0,1.296,5.465,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,200704.0
394,0.06512026817985615,,LayerNormDeviceOperation,0,6.993,5.485,22,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,201728.0
395,0.016366177353103774,,ShardedToInterleavedDeviceOperation,0,1.919,1.217,20,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,202752.0
