Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
82.51,MatmulDeviceOperation (in0:dram_interleaved),15487.64,72,Compute,7.58,50.75,13.94,13.06,10.10
7.17,BinaryNgDeviceOperation (in0:dram_interleaved),1346.51,144,Compute,,,,,
4.98,ReshapeViewDeviceOperation (in0:dram_interleaved),935.62,88,TM,,,,,
1.23,CopyDeviceOperation (in0:dram_interleaved),231.45,32,DM,,,,,
1.04,SliceDeviceOperation (in0:dram_interleaved),195.47,56,TM,,,,,
0.63,LayerNormDeviceOperation (in0:width_sharded),118.77,16,Compute,,,,,
0.60,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),111.76,16,TM,,,,,
0.55,LayerNormDeviceOperation (in0:dram_interleaved),104.03,24,Compute,,,,,
0.55,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),103.94,16,TM,,,,,
0.19,UnaryDeviceOperation (in0:dram_interleaved),35.97,8,Compute,,,,,
0.17,ShardedToInterleavedDeviceOperation (in0:width_sharded),31.22,16,DM,,,,,
0.15,ConcatDeviceOperation (in0:dram_interleaved),27.82,16,TM,,,,,
0.13,InterleavedToShardedDeviceOperation (in0:dram_interleaved),23.92,16,DM,,,,,
0.09,TypecastDeviceOperation (in0:dram_interleaved),17.04,8,TM,,,,,
