ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
117,0.7312183353804158,,LayerNormDeviceOperation,0,192.65,,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,117760.0
118,8.507847739580756,SLOW,MatmulDeviceOperation 2048 x 5120 x 10240,0,2241.049,0.466,110.0,93.57903374714252,18.277155028738772,95.82493055707394,63.01618434151012,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,118784.0
119,4.701971120196884,FLOP,MatmulDeviceOperation 2048 x 5120 x 6144,0,1238.241,0.561,110.0,88.07001544933497,17.201174892448236,104.05811056167578,68.4304704346037,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,119808.0
120,0.5105054041456835,SLOW,MatmulDeviceOperation 2048 x 5120 x 128,0,133.956,0.544,32.0,183.95246200244856,35.92821523485323,20.0390767117561,45.29956215584332,HiFi4 BF16 x FP32 => FP32,FLOAT32,BFLOAT16,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,5,2,2,120832.0
121,0.019558619684481093,,SliceDeviceOperation,0,4.614,0.539,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,121856.0
122,0.019012056277812106,,SliceDeviceOperation,0,4.568,0.441,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,122880.0
123,0.019934382026566017,,UnaryDeviceOperation,0,4.728,0.524,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,123904.0
124,0.03002303157466436,,UnaryDeviceOperation,0,7.421,0.489,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,124928.0
125,0.1119961558373731,,BinaryNgDeviceOperation,0,28.914,0.593,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,125952.0
126,0.02749897139803328,,SliceDeviceOperation,0,6.725,0.52,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,126976.0
127,0.05187038552457182,,UntilizeDeviceOperation,0,13.079,0.587,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,128000.0
128,0.01363372053302078,,SliceDeviceOperation,0,2.932,0.66,4,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,129024.0
129,0.11351059194335174,,UntilizeWithUnpaddingDeviceOperation,0,5.067,24.839,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,130048.0
130,0.02165757498925851,,ConcatDeviceOperation,0,5.141,0.565,7,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,131072.0
131,0.01489385283172983,,SliceDeviceOperation,0,3.348,0.576,4,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,132096.0
132,0.20046731171270202,,TilizeWithValPaddingDeviceOperation,0,13.996,38.82,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,133120.0
133,0.02197260806393577,,TypecastDeviceOperation,0,5.207,0.582,110,,,,,FP32 => BF16,BFLOAT16,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,134144.0
134,0.15722048216001858,,UntilizeWithUnpaddingDeviceOperation,0,3.181,38.241,107,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,135168.0
135,1.0092672862064098,,TypecastDeviceOperation,0,260.939,4.967,110,,,,,FP32 => BF16,BFLOAT16,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,136192.0
136,0.725403508026132,,UntilizeDeviceOperation,0,190.639,0.479,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,137216.0
137,0.8737954729367611,,ConcatDeviceOperation,0,229.694,0.52,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,138240.0
138,0.8969674840319984,,SliceDeviceOperation,0,235.741,0.578,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,139264.0
139,0.9981424435331682,,TilizeDeviceOperation,0,262.384,0.591,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,140288.0
140,1.0753103645122455,,BinaryNgDeviceOperation,0,282.747,0.559,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,141312.0
141,0.9023268418807247,,SliceDeviceOperation,0,237.221,0.51,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,142336.0
142,1.017165886548619,,TilizeDeviceOperation,0,267.408,0.579,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,143360.0
143,1.06451194165132,,BinaryNgDeviceOperation,0,279.98,0.481,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,144384.0
144,1.042353350205948,,BinaryNgDeviceOperation,0,274.084,0.539,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,145408.0
145,0.8713663022404545,,SliceDeviceOperation,0,229.011,0.563,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,146432.0
146,1.0039914311003688,,TilizeDeviceOperation,0,263.937,0.579,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,147456.0
147,1.0732417738411717,,BinaryNgDeviceOperation,0,282.313,0.448,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,148480.0
148,1.039495279058575,,BinaryNgDeviceOperation,0,273.353,0.517,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,149504.0
149,0.925278709381609,,SliceDeviceOperation,0,243.284,0.494,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,150528.0
150,1.0161790359532443,,TilizeDeviceOperation,0,267.149,0.578,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,151552.0
151,1.0746347514123349,,BinaryNgDeviceOperation,0,282.673,0.455,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,152576.0
152,1.1094933509043348,,BinaryNgDeviceOperation,0,291.764,0.548,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,153600.0
153,0.1723876166950829,,SliceDeviceOperation,0,44.947,0.471,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,154624.0
154,0.17274819672031594,,SliceDeviceOperation,0,44.935,0.578,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,155648.0
155,0.5241998539461119,,SliceDeviceOperation,0,137.516,0.592,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,156672.0
156,0.0175090069094724,,TransposeDeviceOperation,0,4.03,0.583,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,157696.0
157,0.01468509597501598,,TransposeDeviceOperation,0,3.404,0.465,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,158720.0
158,0.4434147459770656,,ReshapeViewDeviceOperation,0,116.377,0.447,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,159744.0
159,0.4409362327509903,,ReshapeViewDeviceOperation,0,115.644,0.527,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,160768.0
160,6.3653153898591235,,ChunkGdnPrepOperation,0,1627.02,50.014,110,,,,,"BF16, BF16 => FP32",FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,161792.0
161,4.595190090198145,,ChunkGdnScanOperation,0,1166.78,43.889,96,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,162816.0
162,0.8990474614407109,,UntilizeDeviceOperation,0,236.407,0.46,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,163840.0
163,1.4292708995978205,,PermuteDeviceOperation,0,376.101,0.461,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,164864.0
164,1.0222937140653539,,ReshapeViewDeviceOperation,0,268.819,0.519,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,165888.0
165,0.7667677302891777,,TilizeDeviceOperation,0,201.456,0.56,108,,,,,FP32 => BF16,BFLOAT16,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,166912.0
166,0.7078337718492518,,BinaryNgDeviceOperation,0,186.01,0.479,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,167936.0
167,0.4635275202266417,SLOW,MatmulDeviceOperation 2048 x 6144 x 64,0,121.631,0.492,64.0,217.67924295615427,42.51547713987388,13.24179473982784,14.966944647700375,HiFi4 BF16 x BF16 => FP32,FLOAT32,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,3,1,2,168960.0
168,0.025491109994367364,,BinaryNgDeviceOperation,0,6.183,0.533,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,169984.0
169,0.01335664325047331,,TypecastDeviceOperation,0,2.918,0.601,110,,,,,FP32 => BF16,BFLOAT16,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,171008.0
170,0.41535782443472447,SLOW,MatmulDeviceOperation 2048 x 64 x 6144,0,108.907,0.525,110.0,240.70445425913852,47.01258872248799,14.788881669681471,9.725432495318728,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,172032.0
171,0.6957372608974874,,BinaryNgDeviceOperation,0,182.753,0.549,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,173056.0
172,0.7961151487639317,,BinaryNgDeviceOperation,0,209.275,0.473,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,174080.0
173,4.634869075290628,FLOP,MatmulDeviceOperation 2048 x 6144 x 5120,0,1220.679,0.444,110.0,89.33708534348504,17.448649481149424,105.55520237507156,69.4149847268726,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,175104.0
174,0.022280049980187077,,UntilizeWithUnpaddingDeviceOperation,0,5.328,0.542,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,176128.0
175,0.011997825892226806,,SliceDeviceOperation,0,2.597,0.564,3,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,177152.0
176,0.051896954579062675,,TilizeWithValPaddingDeviceOperation,0,13.218,0.455,107,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,178176.0
177,0.4991983736702189,,BinaryNgDeviceOperation,0,130.954,0.567,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,179200.0
178,0.6961851392446191,,LayerNormDeviceOperation,0,182.913,0.507,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,180224.0
179,23.199308900936902,FLOP,MatmulDeviceOperation 2048 x 5120 x 34816,0,6111.722,0.47,109.0,85.09773448465097,16.620651266533393,119.46623886361323,79.28389323156459,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,2,2,181248.0
180,1.368792140418212,,SliceDeviceOperation,0,360.087,0.541,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,182272.0
181,1.3884266716869529,,SliceDeviceOperation,0,365.221,0.58,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,183296.0
182,2.1095715398361223,,BinaryNgDeviceOperation,0,555.222,0.575,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,184320.0
183,12.54498900041144,FLOP,MatmulDeviceOperation 2048 x 17408 x 5120,0,3304.661,0.497,110.0,81.86395155206539,15.989053037512772,110.47191229599645,72.64830091014076,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,185344.0
184,0.4975814569254898,,BinaryNgDeviceOperation,0,130.573,0.522,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,186368.0
