Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
55.57,MatmulDeviceOperation (in0:dram_interleaved),14527.92,8,Compute,9.73,79.35,49.28,29.91,71.67
12.98,BinaryNgDeviceOperation (in0:dram_interleaved),3393.80,15,Compute,,,,,
7.37,SliceDeviceOperation (in0:dram_interleaved),1925.83,15,TM,,,,,
6.22,ChunkGdnPrepOperation (in0:dram_interleaved),1625.61,1,Other,,,,,
4.81,TilizeDeviceOperation (in0:dram_interleaved),1257.86,5,TM,,,,,
4.41,ChunkGdnScanOperation (in0:dram_interleaved),1154.02,1,Other,,,,,
1.91,ReshapeViewDeviceOperation (in0:dram_interleaved),499.19,3,TM,,,,,
1.68,UntilizeDeviceOperation (in0:dram_interleaved),438.67,3,TM,,,,,
1.45,PermuteDeviceOperation (in0:dram_interleaved),379.11,1,TM,,,,,
1.44,LayerNormDeviceOperation (in0:dram_interleaved),376.35,2,Compute,,,,,
1.02,TypecastDeviceOperation (in0:dram_interleaved),266.89,3,TM,,,,,
0.91,ConcatDeviceOperation (in0:dram_interleaved),238.31,2,TM,,,,,
0.10,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),26.94,2,TM,,,,,
0.05,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),13.69,3,TM,,,,,
0.05,UnaryDeviceOperation (in0:dram_interleaved),12.14,2,Compute,,,,,
0.03,TransposeDeviceOperation (in0:dram_interleaved),7.55,2,TM,,,,,
