Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE'.
Using operations until 'PERF_DECODE_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                        Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1069    0.0 %         InterleavedToShardedDeviceOperation                  0         2 μs                   10                                                       BF16 => BF16
 1070    0.1 %         LayerNormDeviceOperation                             0        10 μs          5 μs     10                                                 BF16, BF16 => BF16
 1071    0.0 %         ShardedToInterleavedDeviceOperation                  0         2 μs          1 μs     10                                                       BF16 => BF16
 1072    1.2 %   DRAM  MatmulDeviceOperation 32 x 5120 x 10240              0       262 μs          1 μs    107  406 GB/s  79.3 %  12.8 TFLOPs    8.6 %  HiFi4 BF16 x BF16 => FP32
 1073    0.7 %   DRAM  MatmulDeviceOperation 32 x 5120 x 6144               0       149 μs          1 μs     96  428 GB/s  83.6 %  13.5 TFLOPs   10.2 %  HiFi4 BF16 x BF16 => BF16
 1074    0.0 %         UnaryDeviceOperation                                 0         4 μs          1 μs    110                                                       BF16 => BF16
 1075    0.3 %   SLOW  MatmulDeviceOperation 32 x 5120 x 128                0        61 μs          1 μs      4   49 GB/s   9.5 %   0.7 TFLOPs   12.5 %  HiFi4 BF16 x FP32 => FP32
 1076    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1077    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      2                                                       FP32 => FP32
 1078    0.0 %         UnaryDeviceOperation                                 0         3 μs          1 μs    110                                                       FP32 => FP32
 1079    0.0 %         UnaryDeviceOperation                                 0         5 μs          1 μs    110                                                       FP32 => FP32
 1080    0.0 %         BinaryNgDeviceOperation                              0         3 μs          1 μs    110                                                 FP32, FP32 => FP32
 1081    0.0 %         BinaryNgDeviceOperation                              0         8 μs          1 μs    110                                                 FP32, FP32 => FP32
 1082    0.0 %         UntilizeWithUnpaddingDeviceOperation                 0         6 μs          0 μs    107                                                       FP32 => FP32
 1083    0.0 %         SliceDeviceOperation                                 0         2 μs          1 μs      1                                                       FP32 => FP32
